secondaryidentifier,symbol,briefdescription,primaryidentifier,length,id,name,scoretype,score,description,chromosomeid,chromosomelocationid,organismid,downstreamintergenicregionid,upstreamintergenicregionid,sequenceid,sequenceontologytermid,class
gene.65252,,,PFI0490c,4360,2048614,,,,,2048348,2048613,1000026,,,5000095,1000081,org.intermine.model.bio.Gene
,,,MAL3P3.17,,1000669,,,,,,,1000026,,,,1000081,org.intermine.model.bio.Gene
gene.65696,,,PFI0950w,1932,2048633,,,,,2048348,2048632,1000026,,,5000103,1000081,org.intermine.model.bio.Gene
gene.65712,,,PFI0965w,729,2048644,,,,,2048348,2048643,1000026,,,5000107,1000081,org.intermine.model.bio.Gene
gene.66524,,,PFI1745c,540,2048651,,,,,2048348,2048650,1000026,,,5000109,1000081,org.intermine.model.bio.Gene
,,,MAL6P1.108,,1000709,,,,,,,1000026,,,,1000081,org.intermine.model.bio.Gene
gene.65284,,,PFI0520w,1632,2048658,,,,,2048348,2048657,1000026,,,5000111,1000081,org.intermine.model.bio.Gene
gene.65295,,,PFI0535w,2551,2048665,,,,,2048348,2048664,1000026,,,5000113,1000081,org.intermine.model.bio.Gene
gene.65742,,,PFI0995w,980,2048694,,,,,2048348,2048693,1000026,,,5000126,1000081,org.intermine.model.bio.Gene
,S230,,PFB0405W,,1000788,,,,,,,1000026,,,,1000081,org.intermine.model.bio.Gene
gene.66136,,,PFI1380c,1218,2048707,,,,,2048348,2048706,1000026,,,5000131,1000081,org.intermine.model.bio.Gene
gene.66529,,,PFI1750c,777,2048714,,,,,2048348,2048713,1000026,,,5000133,1000081,org.intermine.model.bio.Gene
gene.66555,,,PFI1775w,1299,2048723,,,,,2048348,2048722,1000026,,,5000136,1000081,org.intermine.model.bio.Gene
gene.66558,,,PFI1780w,1471,2048730,,,,,2048348,2048729,1000026,,,5000138,1000081,org.intermine.model.bio.Gene
gene.65356,,,PFI0590c,1302,2048739,,,,,2048348,2048738,1000026,,,5000141,1000081,org.intermine.model.bio.Gene
gene.65804,,,PFI1055w,1266,2048746,,,,,2048348,2048745,1000026,,,5000143,1000081,org.intermine.model.bio.Gene
gene.66586,,,PFI1810w,1211,2048753,,,,,2048348,2048752,1000026,,,5000145,1000081,org.intermine.model.bio.Gene
gene.65366,,,PFI0605c,1742,2048762,,,,,2048348,2048761,1000026,,,5000148,1000081,org.intermine.model.bio.Gene
gene.66231,,,PFI1465w,1677,2048771,,,,,2048348,2048770,1000026,,,5000151,1000081,org.intermine.model.bio.Gene
,,,MAL3P6.3,,1000957,,,,,,,1000026,,,,1000081,org.intermine.model.bio.Gene
gene.65412,,,PFI0650c,2067,2048778,,,,,2048348,2048777,1000026,,,5000153,1000081,org.intermine.model.bio.Gene
gene.65434,,,PFI0675w,450,2048787,,,,,2048348,2048786,1000026,,,5000156,1000081,org.intermine.model.bio.Gene
gene.66262,,,PFI1490c,2608,2048796,,,,,2048348,2048795,1000026,,,5000159,1000081,org.intermine.model.bio.Gene
gene.65485,,,PFI0730w,2130,2048809,,,,,2048348,2048808,1000026,,,5000164,1000081,org.intermine.model.bio.Gene
gene.66316,,,PFI1540w,2502,2048816,,,,,2048348,2048815,1000026,,,5000166,1000081,org.intermine.model.bio.Gene
gene.65512,,,PFI0770c,846,2048829,,,,,2048348,2048828,1000026,,,5000171,1000081,org.intermine.model.bio.Gene
gene.64870,,,PFI0145w,477,2048838,,,,,2048348,2048837,1000026,,,5000174,1000081,org.intermine.model.bio.Gene
gene.64933,,,PFI0195c,1281,2048845,,,,,2048348,2048844,1000026,,,5000176,1000081,org.intermine.model.bio.Gene
gene.64973,,,PFI0230c,788,2048852,,,,,2048348,2048851,1000026,,,5000178,1000081,org.intermine.model.bio.Gene
gene.64990,,,PFI0250c,6611,2048861,,,,,2048348,2048860,1000026,,,5000181,1000081,org.intermine.model.bio.Gene
gene.64749,,,PFI0030c,1335,2048872,,,,,2048348,2048871,1000026,,,5000185,1000081,org.intermine.model.bio.Gene
gene.64754,,,PFI0035c,1360,2048881,,,,,2048348,2048880,1000026,,,5000188,1000081,org.intermine.model.bio.Gene
gene.65034,,,PFI0285w,3848,2048890,,,,,2048348,2048889,1000026,,,5000191,1000081,org.intermine.model.bio.Gene
gene.64782,,,PFI0065w,1292,2048901,,,,,2048348,2048900,1000026,,,5000195,1000081,org.intermine.model.bio.Gene
gene.65067,,,PFI0320w,1236,2048910,,,,,2048348,2048909,1000026,,,5000198,1000081,org.intermine.model.bio.Gene
gene.65083,,,PFI0340c,4269,2048917,,,,,2048348,2048916,1000026,,,5000200,1000081,org.intermine.model.bio.Gene
gene.64818,,,PFI0100c,1784,2048924,,,,,2048348,2048923,1000026,,,5000202,1000081,org.intermine.model.bio.Gene
,,,PF14_0459,,1001352,,,,,,,1000026,,,,1000081,org.intermine.model.bio.Gene
gene.64836,,,PFI0115c,1751,2048935,,,,,2048348,2048934,1000026,,,5000206,1000081,org.intermine.model.bio.Gene
gene.65096,,,PFI0360c,1019,2048944,,,,,2048348,2048943,1000026,,,5000209,1000081,org.intermine.model.bio.Gene
gene.65120,,,PFI0385c,1104,2048959,,,,,2048348,2048958,1000026,,,5000215,1000081,org.intermine.model.bio.Gene
gene.65569,,,PFI0820c,1167,2048966,,,,,2048348,2048965,1000026,,,5000217,1000081,org.intermine.model.bio.Gene
gene.65572,,,PFI0823w,150,2048973,,,,,2048348,2048972,1000026,,,5000219,1000081,org.intermine.model.bio.Gene
gene.65578,,,PFI0830c,5481,2048980,,,,,2048348,2048979,1000026,,,5000221,1000081,org.intermine.model.bio.Gene
gene.65949,,,PFI1200w,3939,2048987,,,,,2048348,2048986,1000026,,,5000223,1000081,org.intermine.model.bio.Gene
gene.66359,,,PFI1580c,2376,2048996,,,,,2048348,2048995,1000026,,,5000226,1000081,org.intermine.model.bio.Gene
gene.66373,,,PFI1615c,3711,2049013,,,,,2048348,2049012,1000026,,,5000233,1000081,org.intermine.model.bio.Gene
gene.66385,,,PFI1600w,2286,2049020,,,,,2048348,2049019,1000026,,,5000235,1000081,org.intermine.model.bio.Gene
gene.65605,,,PFI0865w,1077,2049027,,,,,2048348,2049026,1000026,,,5000237,1000081,org.intermine.model.bio.Gene
gene.65616,,,PFI0880c,1191,2049034,,,,,2048348,2049033,1000026,,,5000239,1000081,org.intermine.model.bio.Gene
gene.65993,,,PFI1235w,1484,2049041,,,,,2048348,2049040,1000026,,,5000241,1000081,org.intermine.model.bio.Gene
gene.66415,,,PFI1630c,680,2049052,,,,,2048348,2049051,1000026,,,5000245,1000081,org.intermine.model.bio.Gene
gene.66435,,,PFI1655c,438,2049061,,,,,2048348,2049060,1000026,,,5000248,1000081,org.intermine.model.bio.Gene
gene.65182,,,PFI0420c,1805,2049068,,,,,2048348,2049067,1000026,,,5000250,1000081,org.intermine.model.bio.Gene
gene.65197,,,PFI0430c,3144,2049089,,,,,2048348,2049088,1000026,,,5000259,1000081,org.intermine.model.bio.Gene
gene.65665,,,PFI0920c,1734,2049098,,,,,2048348,2049097,1000026,,,5000262,1000081,org.intermine.model.bio.Gene
gene.66453,,,PFI1680w,1852,2049105,,,,,2048348,2049104,1000026,,,5000264,1000081,org.intermine.model.bio.Gene
gene.66472,,,PFI1700c,3444,2049116,,,,,2048348,2049115,1000026,,,5000268,1000081,org.intermine.model.bio.Gene
gene.66475,,,PFI1705w,705,2049123,,,,,2048348,2049122,1000026,,,5000270,1000081,org.intermine.model.bio.Gene
gene.65249,,,PFI0485c,3345,2049136,,,,,2048348,2049135,1000026,,,5000275,1000081,org.intermine.model.bio.Gene
gene.65691,,,PFI0945w,951,2049143,,,,,2048348,2049142,1000026,,,5000277,1000081,org.intermine.model.bio.Gene
gene.65703,,,PFI0955w,1431,2049154,,,,,2048348,2049153,1000026,,,5000281,1000081,org.intermine.model.bio.Gene
gene.65722,,,PFI0980w,1929,2049161,,,,,2048348,2049160,1000026,,,5000283,1000081,org.intermine.model.bio.Gene
gene.65739,,,PFI0990c,2952,2049170,,,,,2048348,2049169,1000026,,,5000286,1000081,org.intermine.model.bio.Gene
gene.66130,,,PFI1375w,847,2049177,,,,,2048348,2049176,1000026,,,5000288,1000081,org.intermine.model.bio.Gene
gene.65359,,,PFI0595c,1362,2049190,,,,,2048348,2049189,1000026,,,5000293,1000081,org.intermine.model.bio.Gene
gene.65808,,,PFI1060w,5114,2049197,,,,,2048348,2049196,1000026,,,5000295,1000081,org.intermine.model.bio.Gene
gene.66176,,,PFI1425w,1460,2049206,,,,,2048348,2049205,1000026,,,5000298,1000081,org.intermine.model.bio.Gene
gene.66188,,,PFI1435w,1736,2049215,,,,,2048348,2049214,1000026,,,5000301,1000081,org.intermine.model.bio.Gene
gene.66597,,,PFI1820w,4118,2049232,,,,,2048348,2049231,1000026,,,5000308,1000081,org.intermine.model.bio.Gene
gene.65363,,,PFI0600w,318,2049241,,,,,2048348,2049240,1000026,,,5000311,1000081,org.intermine.model.bio.Gene
gene.65403,,,PFI0640c,2808,2049248,,,,,2048348,2049247,1000026,,,5000313,1000081,org.intermine.model.bio.Gene
gene.65824,,,PFI1075w,747,2049257,,,,,2048348,2049256,1000026,,,5000316,1000081,org.intermine.model.bio.Gene
gene.65843,,,PFI1090w,1209,2049264,,,,,2048348,2049263,1000026,,,5000318,1000081,org.intermine.model.bio.Gene
gene.65856,,,PFI1100w,3338,2049271,,,,,2048348,2049270,1000026,,,5000320,1000081,org.intermine.model.bio.Gene
gene.65427,,,PFI0665w,3696,2049284,,,,,2048348,2049283,1000026,,,5000325,1000081,org.intermine.model.bio.Gene
gene.65894,,,PFI1130c,1008,2049291,,,,,2048348,2049290,1000026,,,5000327,1000081,org.intermine.model.bio.Gene
gene.65470,,,PFI0710c,5362,2049298,,,,,2048348,2049297,1000026,,,5000329,1000081,org.intermine.model.bio.Gene
gene.66312,,,PFI1535w,1139,2049307,,,,,2048348,2049306,1000026,,,5000332,1000081,org.intermine.model.bio.Gene
gene.66322,,,PFI1545c,849,2049316,,,,,2048348,2049315,1000026,,,5000335,1000081,org.intermine.model.bio.Gene
gene.66325,,,PFI1550c,1028,2049323,,,,,2048348,2049322,1000026,,,5000337,1000081,org.intermine.model.bio.Gene
gene.65506,,,PFI0760w,1995,2049336,,,,,2048348,2049335,1000026,,,5000342,1000081,org.intermine.model.bio.Gene
gene.64865,,,PFI0140w,309,2049343,,,,,2048348,2049342,1000026,,,5000344,1000081,org.intermine.model.bio.Gene
gene.64999,,,PFI0260c,18357,2049350,,,,,2048348,2049349,1000026,,,5000346,1000081,org.intermine.model.bio.Gene
gene.64743,,,PFI0025c,1137,2049357,,,,,2048348,2049356,1000026,,,5000348,1000081,org.intermine.model.bio.Gene
gene.65012,,,PFI0270w,720,2049366,,,,,2048348,2049365,1000026,,,5000351,1000081,org.intermine.model.bio.Gene
gene.64807,,,PFI0090c,1302,2049373,,,,,2048348,2049372,1000026,,,5000353,1000081,org.intermine.model.bio.Gene
gene.65114,,,PFI0380c,925,2049382,,,,,2048348,2049381,1000026,,,5000356,1000081,org.intermine.model.bio.Gene
gene.65584,,,PFI0840w,1182,2049391,,,,,2048348,2049390,1000026,,,5000359,1000081,org.intermine.model.bio.Gene
gene.65630,,,PFI0890c,1209,2049400,,,,,2048348,2049399,1000026,,,5000362,1000081,org.intermine.model.bio.Gene
gene.65998,,,PFI1240c,1740,2049411,,,,,2048348,2049410,1000026,,,5000366,1000081,org.intermine.model.bio.Gene
gene.66024,,,PFI1270w,804,2049418,,,,,2048348,2049417,1000026,,,5000368,1000081,org.intermine.model.bio.Gene
gene.65635,,,PFI0895c,1065,2049427,,,,,2048348,2049426,1000026,,,5000371,1000081,org.intermine.model.bio.Gene
gene.65656,,,PFI0910w,2187,2049436,,,,,2048348,2049435,1000026,,,5000374,1000081,org.intermine.model.bio.Gene
gene.65659,,,PFI0915w,2654,2049443,,,,,2048348,2049442,1000026,,,5000376,1000081,org.intermine.model.bio.Gene
gene.65264,,,PFI0500w,1299,2049456,,,,,2048348,2049455,1000026,,,5000381,1000081,org.intermine.model.bio.Gene
gene.65269,,,PFI0505c,3582,2049463,,,,,2048348,2049462,1000026,,,5000383,1000081,org.intermine.model.bio.Gene
gene.66122,,,PFI1365w,1070,2049470,,,,,2048348,2049469,1000026,,,5000385,1000081,org.intermine.model.bio.Gene
gene.65310,,,PFI0540w,3719,2049479,,,,,2048348,2049478,1000026,,,5000388,1000081,org.intermine.model.bio.Gene
gene.65762,,,PFI1015w,1782,2049488,,,,,2048348,2049487,1000026,,,5000391,1000081,org.intermine.model.bio.Gene
gene.66126,,,PFI1370c,1062,2049495,,,,,2048348,2049494,1000026,,,5000393,1000081,org.intermine.model.bio.Gene
gene.66158,,,PFI1400c,959,2049502,,,,,2048348,2049501,1000026,,,5000395,1000081,org.intermine.model.bio.Gene
gene.66551,,,PFI1770w,1019,2049515,,,,,2048348,2049514,1000026,,,5000400,1000081,org.intermine.model.bio.Gene
gene.65326,,,PFI0560c,1652,2049524,,,,,2048348,2049523,1000026,,,5000403,1000081,org.intermine.model.bio.Gene
gene.65336,,,PFI0565w,1425,2049545,,,,,2048348,2049544,1000026,,,5000412,1000081,org.intermine.model.bio.Gene
gene.65352,,,PFI0585c,4707,2049552,,,,,2048348,2049551,1000026,,,5000414,1000081,org.intermine.model.bio.Gene
gene.65799,,,PFI1050c,987,2049559,,,,,2048348,2049558,1000026,,,5000416,1000081,org.intermine.model.bio.Gene
gene.65382,,,PFI0615w,2836,2049568,,,,,2048348,2049567,1000026,,,5000419,1000081,org.intermine.model.bio.Gene
gene.65389,,,PFI0625c,1851,2049577,,,,,2048348,2049576,1000026,,,5000422,1000081,org.intermine.model.bio.Gene
gene.65837,,,PFI1085w,4890,2049584,,,,,2048348,2049583,1000026,,,5000424,1000081,org.intermine.model.bio.Gene
gene.65865,,,PFI1110w,1287,2049595,,,,,2048348,2049594,1000026,,,5000428,1000081,org.intermine.model.bio.Gene
gene.66268,,,PFI1495w,1620,2049602,,,,,2048348,2049601,1000026,,,5000430,1000081,org.intermine.model.bio.Gene
gene.65457,,,PFI0700c,2289,2049613,,,,,2048348,2049612,1000026,,,5000434,1000081,org.intermine.model.bio.Gene
gene.65482,,,PFI0725c,627,2049620,,,,,2048348,2049619,1000026,,,5000436,1000081,org.intermine.model.bio.Gene
gene.65491,,,PFI0740c,812,2049627,,,,,2048348,2049626,1000026,,,5000438,1000081,org.intermine.model.bio.Gene
gene.65509,,,PFI0765w,717,2049640,,,,,2048348,2049639,1000026,,,5000443,1000081,org.intermine.model.bio.Gene
gene.65516,,,PFI0775w,654,2049647,,,,,2048348,2049646,1000026,,,5000445,1000081,org.intermine.model.bio.Gene
gene.65519,,,PFI0780w,501,2049654,,,,,2048348,2049653,1000026,,,5000447,1000081,org.intermine.model.bio.Gene
gene.65529,,,PFI0790w,658,2049661,,,,,2048348,2049660,1000026,,,5000449,1000081,org.intermine.model.bio.Gene
gene.64949,,,PFI0210c,8408,2049674,,,,,2048348,2049673,1000026,,,5000454,1000081,org.intermine.model.bio.Gene
gene.64763,,,PFI0045c,987,2049695,,,,,2048348,2049694,1000026,,,5000463,1000081,org.intermine.model.bio.Gene
gene.65017,,,PFI0275w,3896,2049704,,,,,2048348,2049703,1000026,,,5000466,1000081,org.intermine.model.bio.Gene
gene.65021,,,PFI0280c,2441,2049713,,,,,2048348,2049712,1000026,,,5000469,1000081,org.intermine.model.bio.Gene
gene.65042,,,PFI0295c,5515,2049740,,,,,2048348,2049739,1000026,,,5000481,1000081,org.intermine.model.bio.Gene
gene.65070,,,PFI0325c,2532,2049751,,,,,2048348,2049750,1000026,,,5000485,1000081,org.intermine.model.bio.Gene
gene.65073,,,PFI0330c,4099,2049758,,,,,2048348,2049757,1000026,,,5000487,1000081,org.intermine.model.bio.Gene
gene.65087,,,PFI0345w,3402,2049767,,,,,2048348,2049766,1000026,,,5000490,1000081,org.intermine.model.bio.Gene
gene.65581,,,PFI0835c,1974,2049774,,,,,2048348,2049773,1000026,,,5000492,1000081,org.intermine.model.bio.Gene
gene.65953,,,PFI1205c,4365,2049781,,,,,2048348,2049780,1000026,,,5000494,1000081,org.intermine.model.bio.Gene
gene.65152,,,PFI0405w,811,2049792,,,,,2048348,2049791,1000026,,,5000498,1000081,org.intermine.model.bio.Gene
gene.65595,,,PFI0850w,3876,2049801,,,,,2048348,2049800,1000026,,,5000501,1000081,org.intermine.model.bio.Gene
gene.66035,,,PFI1280c,9537,2049810,,,,,2048348,2049809,1000026,,,5000504,1000081,org.intermine.model.bio.Gene
gene.65208,,,PFI0440w,2229,2049817,,,,,2048348,2049816,1000026,,,5000506,1000081,org.intermine.model.bio.Gene
gene.65218,,,PFI0450c,1198,2049826,,,,,2048348,2049825,1000026,,,5000509,1000081,org.intermine.model.bio.Gene
gene.65648,,,PFI0905w,1411,2049845,,,,,2048348,2049844,1000026,,,5000517,1000081,org.intermine.model.bio.Gene
gene.65670,,,PFI0925w,3192,2049858,,,,,2048348,2049857,1000026,,,5000522,1000081,org.intermine.model.bio.Gene
gene.66078,,,PFI1320c,917,2049865,,,,,2048348,2049864,1000026,,,5000524,1000081,org.intermine.model.bio.Gene
gene.66442,,,PFI1665w,603,2049876,,,,,2048348,2049875,1000026,,,5000528,1000081,org.intermine.model.bio.Gene
gene.66445,,,PFI1670c,666,2049883,,,,,2048348,2049882,1000026,,,5000530,1000081,org.intermine.model.bio.Gene
gene.66465,,,PFI1690c,1744,2049890,,,,,2048348,2049889,1000026,,,5000532,1000081,org.intermine.model.bio.Gene
gene.65227,,,PFI0455w,3936,2049899,,,,,2048348,2049898,1000026,,,5000535,1000081,org.intermine.model.bio.Gene
gene.65707,,,PFI0960w,1434,2049906,,,,,2048348,2049905,1000026,,,5000537,1000081,org.intermine.model.bio.Gene
gene.66087,,,PFI1330c,579,2049913,,,,,2048348,2049912,1000026,,,5000539,1000081,org.intermine.model.bio.Gene
gene.66501,,,PFI1730w,5915,2049920,,,,,2048348,2049919,1000026,,,5000541,1000081,org.intermine.model.bio.Gene
gene.65292,,,PFI0530c,1578,2049943,,,,,2048348,2049942,1000026,,,5000551,1000081,org.intermine.model.bio.Gene
gene.66164,,,PFI1405c,342,2049950,,,,,2048348,2049949,1000026,,,5000553,1000081,org.intermine.model.bio.Gene
gene.66540,,,PFI1760w,878,2049957,,,,,2048348,2049956,1000026,,,5000555,1000081,org.intermine.model.bio.Gene
gene.66546,,,PFI1765c,580,2049966,,,,,2048348,2049965,1000026,,,5000558,1000081,org.intermine.model.bio.Gene
gene.65343,,,PFI0575c,831,2049975,,,,,2048348,2049974,1000026,,,5000561,1000081,org.intermine.model.bio.Gene
gene.66212,,,PFI1450c,779,2049982,,,,,2048348,2049981,1000026,,,5000563,1000081,org.intermine.model.bio.Gene
gene.65386,,,PFI0620w,258,2049991,,,,,2048348,2049990,1000026,,,5000566,1000081,org.intermine.model.bio.Gene
gene.65818,,,PFI1070c,1325,2049998,,,,,2048348,2049997,1000026,,,5000568,1000081,org.intermine.model.bio.Gene
gene.65846,,,PFI1095w,1874,2050009,,,,,2048348,2050008,1000026,,,5000572,1000081,org.intermine.model.bio.Gene
gene.66216,,,PFI1455c,1009,2050028,,,,,2048348,2050027,1000026,,,5000580,1000081,org.intermine.model.bio.Gene
gene.66220,,,PFI1460c,1796,2050037,,,,,2048348,2050036,1000026,,,5000583,1000081,org.intermine.model.bio.Gene
gene.65430,,,PFI0670w,1980,2050046,,,,,2048348,2050045,1000026,,,5000586,1000081,org.intermine.model.bio.Gene
gene.65443,,,PFI0685w,2868,2050053,,,,,2048348,2050052,1000026,,,5000588,1000081,org.intermine.model.bio.Gene
gene.65450,,,PFI0695c,1715,2050060,,,,,2048348,2050059,1000026,,,5000590,1000081,org.intermine.model.bio.Gene
gene.65897,,,PFI1135c,669,2050073,,,,,2048348,2050072,1000026,,,5000595,1000081,org.intermine.model.bio.Gene
gene.66280,,,PFI1835c,670,2050080,,,,,2048348,2050079,1000026,,,5000597,1000081,org.intermine.model.bio.Gene
gene.66287,,,PFI1510w,2478,2050089,,,,,2048348,2050088,1000026,,,5000600,1000081,org.intermine.model.bio.Gene
gene.65914,,,PFI1160w,1155,2050096,,,,,2048348,2050095,1000026,,,5000602,1000081,org.intermine.model.bio.Gene
gene.65522,,,PFI0785c,4471,2050109,,,,,2048348,2050108,1000026,,,5000605,1000081,org.intermine.model.bio.Gene
gene.64874,,,PFI0150c,798,2050122,,,,,2048348,2050121,1000026,,,5000610,1000081,org.intermine.model.bio.Gene
gene.64902,,,PFI0175w,4395,2050131,,,,,2048348,2050130,1000026,,,5000613,1000081,org.intermine.model.bio.Gene
gene.64924,,,PFI0185w,4805,2050166,,,,,2048348,2050165,1000026,,,5000629,1000081,org.intermine.model.bio.Gene
gene.64943,,,PFI0205w,950,2050175,,,,,2048348,2050174,1000026,,,5000632,1000081,org.intermine.model.bio.Gene
gene.64965,,,PFI0220w,533,2050184,,,,,2048348,2050183,1000026,,,5000635,1000081,org.intermine.model.bio.Gene
gene.64996,,,PFI0255c,3600,2050193,,,,,2048348,2050192,1000026,,,5000638,1000081,org.intermine.model.bio.Gene
gene.64732,,,PFI0015c,1243,2050200,,,,,2048348,2050199,1000026,,,5000640,1000081,org.intermine.model.bio.Gene
gene.64812,,,PFI0095c,1935,2050209,,,,,2048348,2050208,1000026,,,5000643,1000081,org.intermine.model.bio.Gene
gene.65048,,,PFI0300w,1557,2050220,,,,,2048348,2050219,1000026,,,5000647,1000081,org.intermine.model.bio.Gene
gene.65061,,,PFI0310w,1305,2050239,,,,,2048348,2050238,1000026,,,5000655,1000081,org.intermine.model.bio.Gene
gene.64824,,,PFI0105c,1938,2050246,,,,,2048348,2050245,1000026,,,5000657,1000081,org.intermine.model.bio.Gene
gene.64845,,,PFI0125c,2141,2050255,,,,,2048348,2050254,1000026,,,5000660,1000081,org.intermine.model.bio.Gene
gene.64858,,,PFI0135c,3386,2050266,,,,,2048348,2050265,1000026,,,5000664,1000081,org.intermine.model.bio.Gene
gene.65541,,,PFI0800c,1707,2050279,,,,,2048348,2050278,1000026,,,5000669,1000081,org.intermine.model.bio.Gene
gene.65946,,,PFI1195c,1173,2050298,,,,,2048348,2050297,1000026,,,5000677,1000081,org.intermine.model.bio.Gene
gene.65960,,,PFI1210w,6383,2050305,,,,,2048348,2050304,1000026,,,5000679,1000081,org.intermine.model.bio.Gene
gene.65967,,,PFI1220w,1456,2050314,,,,,2048348,2050313,1000026,,,5000682,1000081,org.intermine.model.bio.Gene
gene.66355,,,PFI1575c,1527,2050333,,,,,2048348,2050332,1000026,,,5000690,1000081,org.intermine.model.bio.Gene
gene.66369,,,PFI1585c,850,2050342,,,,,2048348,2050341,1000026,,,5000693,1000081,org.intermine.model.bio.Gene
gene.66388,,,PFI1605w,3046,2050351,,,,,2048348,2050350,1000026,,,5000696,1000081,org.intermine.model.bio.Gene
gene.65608,,,PFI0870w,1314,2050366,,,,,2048348,2050365,1000026,,,5000702,1000081,org.intermine.model.bio.Gene
gene.66404,,,PFI1615w,4289,2050373,,,,,2048348,2050372,1000026,,,5000704,1000081,org.intermine.model.bio.Gene
gene.66412,,,PFI1625c,1455,2050382,,,,,2048348,2050381,1000026,,,5000707,1000081,org.intermine.model.bio.Gene
gene.65639,,,PFI0900w,5973,2050389,,,,,2048348,2050388,1000026,,,5000709,1000081,org.intermine.model.bio.Gene
gene.66046,,,PFI1290w,1757,2050404,,,,,2048348,2050403,1000026,,,5000715,1000081,org.intermine.model.bio.Gene
gene.66071,,,PFI1310w,2520,2050425,,,,,2048348,2050424,1000026,,,5000724,1000081,org.intermine.model.bio.Gene
