secondaryidentifier,symbol,primaryidentifier,length,id,name,scoretype,score,chromosomeid,chromosomelocationid,organismid,sequenceid,sequenceontologytermid,class
gene.58530,,PFE0540w,2662,2035684,,,,2035638,2035683,1000026,5017879,1000081,org.intermine.model.bio.Gene
,,exon.58540,69,2035689,,,,2035638,2035688,1000026,5017880,2000012,org.intermine.model.bio.Exon
,,exon.58539,152,2035691,,,,2035638,2035690,1000026,5017881,2000012,org.intermine.model.bio.Exon
,,exon.58541,86,2035693,,,,2035638,2035692,1000026,5017882,2000012,org.intermine.model.bio.Exon
,,exon.58532,98,2035695,,,,2035638,2035694,1000026,5017883,2000012,org.intermine.model.bio.Exon
,,exon.58534,640,2035697,,,,2035638,2035696,1000026,5017884,2000012,org.intermine.model.bio.Exon
,,exon.58536,161,2035699,,,,2035638,2035698,1000026,5017885,2000012,org.intermine.model.bio.Exon
,,exon.58533,90,2035701,,,,2035638,2035700,1000026,5017886,2000012,org.intermine.model.bio.Exon
,,PFC0295C,,1000627,,,,,,1000026,,1000081,org.intermine.model.bio.Gene
,,MAL3P2.28,,1000628,,,,,,1000026,,1000081,org.intermine.model.bio.Gene
,,exon.58538,88,2035703,,,,2035638,2035702,1000026,5017887,2000012,org.intermine.model.bio.Exon
,,exon.58537,82,2035705,,,,2035638,2035704,1000026,5017888,2000012,org.intermine.model.bio.Exon
,,MAL3P3.17,,1000669,,,,,,1000026,,1000081,org.intermine.model.bio.Gene
,,exon.58535,76,2035707,,,,2035638,2035706,1000026,5017889,2000012,org.intermine.model.bio.Exon
gene.58557,,PFE0555w,3004,2035709,,,,2035638,2035708,1000026,5017890,1000081,org.intermine.model.bio.Gene
,,exon.58560,1092,2035714,,,,2035638,2035713,1000026,5017891,2000012,org.intermine.model.bio.Exon
,,MAL6P1.108,,1000709,,,,,,1000026,,1000081,org.intermine.model.bio.Gene
,,exon.58559,1758,2035716,,,,2035638,2035715,1000026,5017892,2000012,org.intermine.model.bio.Exon
gene.58584,,PFE0585c,1974,2035718,,,,2035638,2035717,1000026,5017893,1000081,org.intermine.model.bio.Gene
,,exon.58587,776,2035723,,,,2035638,2035722,1000026,5017894,2000012,org.intermine.model.bio.Exon
,S230,PFB0405W,,1000788,,,,,,1000026,,1000081,org.intermine.model.bio.Gene
,,exon.58586,1039,2035725,,,,2035638,2035724,1000026,5017895,2000012,org.intermine.model.bio.Exon
gene.58631,,PFE0640w,798,2035727,,,,2035638,2035726,1000026,5017896,1000081,org.intermine.model.bio.Gene
,,exon.58633,798,2035732,,,,2035638,2035731,1000026,5017897,2000012,org.intermine.model.bio.Exon
gene.58666,,PFE0675c,3565,2035734,,,,2035638,2035733,1000026,5017898,1000081,org.intermine.model.bio.Gene
,,exon.58668,706,2035739,,,,2035638,2035738,1000026,5017899,2000012,org.intermine.model.bio.Exon
,,exon.58669,2636,2035741,,,,2035638,2035740,1000026,5017900,2000012,org.intermine.model.bio.Exon
gene.58776,,PFE0785c,1371,2035743,,,,2035638,2035742,1000026,5017901,1000081,org.intermine.model.bio.Gene
,,exon.58778,1371,2035748,,,,2035638,2035747,1000026,5017902,2000012,org.intermine.model.bio.Exon
gene.59294,,PFE1330c,2391,2035750,,,,2035638,2035749,1000026,5017903,1000081,org.intermine.model.bio.Gene
,,MAL3P6.3,,1000957,,,,,,1000026,,1000081,org.intermine.model.bio.Gene
,,exon.59296,2391,2035755,,,,2035638,2035754,1000026,5017904,2000012,org.intermine.model.bio.Exon
gene.59301,,PFE1340w,986,2035757,,,,2035638,2035756,1000026,5017905,1000081,org.intermine.model.bio.Gene
,,exon.59303,181,2035762,,,,2035638,2035761,1000026,5017906,2000012,org.intermine.model.bio.Exon
,,exon.59306,78,2035764,,,,2035638,2035763,1000026,5017907,2000012,org.intermine.model.bio.Exon
,,exon.59305,242,2035766,,,,2035638,2035765,1000026,5017908,2000012,org.intermine.model.bio.Exon
,,exon.59304,144,2035768,,,,2035638,2035767,1000026,5017909,2000012,org.intermine.model.bio.Exon
gene.59063,,PFE1100w,923,2035770,,,,2035638,2035769,1000026,5017910,1000081,org.intermine.model.bio.Gene
,,exon.59066,81,2035775,,,,2035638,2035774,1000026,5017911,2000012,org.intermine.model.bio.Exon
,,exon.59068,63,2035777,,,,2035638,2035776,1000026,5017912,2000012,org.intermine.model.bio.Exon
,,exon.59065,114,2035779,,,,2035638,2035778,1000026,5017913,2000012,org.intermine.model.bio.Exon
,,exon.59067,66,2035781,,,,2035638,2035780,1000026,5017914,2000012,org.intermine.model.bio.Exon
gene.59313,,PFE1350c,796,2035783,,,,2035638,2035782,1000026,5017915,1000081,org.intermine.model.bio.Gene
,,exon.59315,222,2035788,,,,2035638,2035787,1000026,5017916,2000012,org.intermine.model.bio.Exon
,,exon.59317,95,2035790,,,,2035638,2035789,1000026,5017917,2000012,org.intermine.model.bio.Exon
,,exon.59318,87,2035792,,,,2035638,2035791,1000026,5017918,2000012,org.intermine.model.bio.Exon
,,exon.59316,55,2035794,,,,2035638,2035793,1000026,5017919,2000012,org.intermine.model.bio.Exon
gene.59349,,MAL5_tRNA_Glu1,73,2035796,,,,2035638,2035795,1000026,5017920,1000081,org.intermine.model.bio.Gene
,,exon.59351,73,2035801,,,,2035638,2035800,1000026,5017921,2000012,org.intermine.model.bio.Exon
gene.58864,,PFE0890c,837,2035803,,,,2035638,2035802,1000026,5017922,1000081,org.intermine.model.bio.Gene
,,exon.58866,618,2035808,,,,2035638,2035807,1000026,5017923,2000012,org.intermine.model.bio.Exon
,,exon.58867,69,2035810,,,,2035638,2035809,1000026,5017924,2000012,org.intermine.model.bio.Exon
,,PF14_0459,,1001352,,,,,,1000026,,1000081,org.intermine.model.bio.Gene
gene.59115,,PFE1140c,748,2035812,,,,2035638,2035811,1000026,5017925,1000081,org.intermine.model.bio.Gene
,,exon.59119,54,2035817,,,,2035638,2035816,1000026,5017926,2000012,org.intermine.model.bio.Exon
,,exon.59118,173,2035819,,,,2035638,2035818,1000026,5017927,2000012,org.intermine.model.bio.Exon
,,exon.59117,217,2035821,,,,2035638,2035820,1000026,5017928,2000012,org.intermine.model.bio.Exon
gene.59120,,PFE1145w,4659,2035823,,,,2035638,2035822,1000026,5017929,1000081,org.intermine.model.bio.Gene
,,exon.59122,4659,2035828,,,,2035638,2035827,1000026,5017930,2000012,org.intermine.model.bio.Exon
gene.59377,,PFE1410c,1491,2035830,,,,2035638,2035829,1000026,5017931,1000081,org.intermine.model.bio.Gene
,,exon.59379,1491,2035835,,,,2035638,2035834,1000026,5017932,2000012,org.intermine.model.bio.Exon
gene.58893,,PFE0915c,1168,2035837,,,,2035638,2035836,1000026,5017933,1000081,org.intermine.model.bio.Gene
,,exon.58898,432,2035842,,,,2035638,2035841,1000026,5017934,2000012,org.intermine.model.bio.Exon
,,exon.58896,130,2035844,,,,2035638,2035843,1000026,5017935,2000012,org.intermine.model.bio.Exon
,,exon.58897,108,2035846,,,,2035638,2035845,1000026,5017936,2000012,org.intermine.model.bio.Exon
,,exon.58895,113,2035848,,,,2035638,2035847,1000026,5017937,2000012,org.intermine.model.bio.Exon
gene.58902,,PFE0925c,3372,2035850,,,,2035638,2035849,1000026,5017938,1000081,org.intermine.model.bio.Gene
,,exon.58904,3372,2035855,,,,2035638,2035854,1000026,5017939,2000012,org.intermine.model.bio.Exon
gene.59146,,PFE1173c,1126,2035857,,,,2035638,2035856,1000026,5017940,1000081,org.intermine.model.bio.Gene
,,exon.59148,83,2035862,,,,2035638,2035861,1000026,5017941,2000012,org.intermine.model.bio.Exon
,,exon.59152,75,2035864,,,,2035638,2035863,1000026,5017942,2000012,org.intermine.model.bio.Exon
,,exon.59153,79,2035866,,,,2035638,2035865,1000026,5017943,2000012,org.intermine.model.bio.Exon
,,exon.59149,35,2035868,,,,2035638,2035867,1000026,5017944,2000012,org.intermine.model.bio.Exon
,,exon.59150,88,2035870,,,,2035638,2035869,1000026,5017945,2000012,org.intermine.model.bio.Exon
,,exon.59151,18,2035872,,,,2035638,2035871,1000026,5017946,2000012,org.intermine.model.bio.Exon
gene.59178,,PFE1200w,3872,2035874,,,,2035638,2035873,1000026,5017947,1000081,org.intermine.model.bio.Gene
,,exon.59180,3626,2035879,,,,2035638,2035878,1000026,5017948,2000012,org.intermine.model.bio.Exon
,,exon.59181,106,2035881,,,,2035638,2035880,1000026,5017949,2000012,org.intermine.model.bio.Exon
gene.58953,,PFE0980c,7678,2035883,,,,2035638,2035882,1000026,5017950,1000081,org.intermine.model.bio.Gene
,,exon.58955,963,2035888,,,,2035638,2035887,1000026,5017951,2000012,org.intermine.model.bio.Exon
,,exon.58956,6504,2035890,,,,2035638,2035889,1000026,5017952,2000012,org.intermine.model.bio.Exon
gene.59188,,PFE1210c,1221,2035892,,,,2035638,2035891,1000026,5017953,1000081,org.intermine.model.bio.Gene
,,exon.59190,1221,2035897,,,,2035638,2035896,1000026,5017954,2000012,org.intermine.model.bio.Exon
gene.59216,,PFE1250w,2022,2035899,,,,2035638,2035898,1000026,5017955,1000081,org.intermine.model.bio.Gene
,,exon.59218,2022,2035904,,,,2035638,2035903,1000026,5017956,2000012,org.intermine.model.bio.Exon
gene.59460,,PFE1470w,1207,2035906,,,,2035638,2035905,1000026,5017957,1000081,org.intermine.model.bio.Gene
,,exon.59463,78,2035911,,,,2035638,2035910,1000026,5017958,2000012,org.intermine.model.bio.Exon
,,exon.59465,80,2035913,,,,2035638,2035912,1000026,5017959,2000012,org.intermine.model.bio.Exon
,,exon.59462,98,2035915,,,,2035638,2035914,1000026,5017960,2000012,org.intermine.model.bio.Exon
,,exon.59464,134,2035917,,,,2035638,2035916,1000026,5017961,2000012,org.intermine.model.bio.Exon
,,exon.59467,68,2035919,,,,2035638,2035918,1000026,5017962,2000012,org.intermine.model.bio.Exon
,,exon.59466,82,2035921,,,,2035638,2035920,1000026,5017963,2000012,org.intermine.model.bio.Exon
gene.58999,,PFE1035c,992,2035923,,,,2035638,2035922,1000026,5017964,1000081,org.intermine.model.bio.Gene
,,exon.59001,100,2035928,,,,2035638,2035927,1000026,5017965,2000012,org.intermine.model.bio.Exon
,,exon.59005,110,2035930,,,,2035638,2035929,1000026,5017966,2000012,org.intermine.model.bio.Exon
,,exon.59003,104,2035932,,,,2035638,2035931,1000026,5017967,2000012,org.intermine.model.bio.Exon
,,exon.59004,140,2035934,,,,2035638,2035933,1000026,5017968,2000012,org.intermine.model.bio.Exon
,,exon.59002,8,2035936,,,,2035638,2035935,1000026,5017969,2000012,org.intermine.model.bio.Exon
gene.59513,,PFE1525w,3609,2035938,,,,2035638,2035937,1000026,5017970,1000081,org.intermine.model.bio.Gene
,,exon.59518,674,2035943,,,,2035638,2035942,1000026,5017971,2000012,org.intermine.model.bio.Exon
,,exon.59516,1271,2035945,,,,2035638,2035944,1000026,5017972,2000012,org.intermine.model.bio.Exon
,,exon.59520,341,2035947,,,,2035638,2035946,1000026,5017973,2000012,org.intermine.model.bio.Exon
,,exon.59517,184,2035949,,,,2035638,2035948,1000026,5017974,2000012,org.intermine.model.bio.Exon
,,exon.59515,173,2035951,,,,2035638,2035950,1000026,5017975,2000012,org.intermine.model.bio.Exon
,,exon.59519,190,2035953,,,,2035638,2035952,1000026,5017976,2000012,org.intermine.model.bio.Exon
,,exon.59521,80,2035955,,,,2035638,2035954,1000026,5017977,2000012,org.intermine.model.bio.Exon
gene.58052,,PFE0040c,4435,2035957,,,,2035638,2035956,1000026,5017978,1000081,org.intermine.model.bio.Gene
,,exon.58054,4155,2035962,,,,2035638,2035961,1000026,5017979,2000012,org.intermine.model.bio.Exon
,,exon.58055,150,2035964,,,,2035638,2035963,1000026,5017980,2000012,org.intermine.model.bio.Exon
gene.58095,,PFE0080c,1197,2035966,,,,2035638,2035965,1000026,5017981,1000081,org.intermine.model.bio.Gene
,,exon.58097,1197,2035971,,,,2035638,2035970,1000026,5017982,2000012,org.intermine.model.bio.Exon
gene.58102,,PFE0090w,3231,2035973,,,,2035638,2035972,1000026,5017983,1000081,org.intermine.model.bio.Gene
,,exon.58104,3231,2035978,,,,2035638,2035977,1000026,5017984,2000012,org.intermine.model.bio.Exon
gene.58170,,PFE0160c,927,2035980,,,,2035638,2035979,1000026,5017985,1000081,org.intermine.model.bio.Gene
,,exon.58172,927,2035985,,,,2035638,2035984,1000026,5017986,2000012,org.intermine.model.bio.Exon
gene.58173,,PFE0165w,762,2035987,,,,2035638,2035986,1000026,5017987,1000081,org.intermine.model.bio.Gene
,,exon.58176,208,2035992,,,,2035638,2035991,1000026,5017988,2000012,org.intermine.model.bio.Exon
,,exon.58175,161,2035994,,,,2035638,2035993,1000026,5017989,2000012,org.intermine.model.bio.Exon
gene.58190,,PFE0180w,559,2035996,,,,2035638,2035995,1000026,5017990,1000081,org.intermine.model.bio.Gene
,,exon.58193,135,2036001,,,,2035638,2036000,1000026,5017991,2000012,org.intermine.model.bio.Exon
,,exon.58192,114,2036003,,,,2035638,2036002,1000026,5017992,2000012,org.intermine.model.bio.Exon
gene.58206,,PFE0195w,7344,2036005,,,,2035638,2036004,1000026,5017993,1000081,org.intermine.model.bio.Gene
,,exon.58209,6848,2036010,,,,2035638,2036009,1000026,5017994,2000012,org.intermine.model.bio.Exon
,,exon.58208,334,2036012,,,,2035638,2036011,1000026,5017995,2000012,org.intermine.model.bio.Exon
gene.59580,,MAL5_28S,3790,2036014,,,,2035638,2036013,1000026,5017996,1000081,org.intermine.model.bio.Gene
,,exon.59583,3790,2036019,,,,2035638,2036018,1000026,5017997,2000012,org.intermine.model.bio.Exon
gene.59604,,PFE1610w,505,2036021,,,,2035638,2036020,1000026,5017998,1000081,org.intermine.model.bio.Gene
,,exon.59606,60,2036026,,,,2035638,2036025,1000026,5017999,2000012,org.intermine.model.bio.Exon
,,exon.59607,306,2036028,,,,2035638,2036027,1000026,5018000,2000012,org.intermine.model.bio.Exon
gene.58391,,PFE0390w,875,2036030,,,,2035638,2036029,1000026,5018001,1000081,org.intermine.model.bio.Gene
,,exon.58394,53,2036035,,,,2035638,2036034,1000026,5018002,2000012,org.intermine.model.bio.Exon
,,exon.58393,159,2036037,,,,2035638,2036036,1000026,5018003,2000012,org.intermine.model.bio.Exon
,,exon.58396,76,2036039,,,,2035638,2036038,1000026,5018004,2000012,org.intermine.model.bio.Exon
,,exon.58395,72,2036041,,,,2035638,2036040,1000026,5018005,2000012,org.intermine.model.bio.Exon
gene.58403,,PFE0400w,5025,2036043,,,,2035638,2036042,1000026,5018006,1000081,org.intermine.model.bio.Gene
,,exon.58405,5025,2036048,,,,2035638,2036047,1000026,5018007,2000012,org.intermine.model.bio.Exon
gene.58457,,PFE0460c,496,2036050,,,,2035638,2036049,1000026,5018008,1000081,org.intermine.model.bio.Gene
,,exon.58459,252,2036055,,,,2035638,2036054,1000026,5018009,2000012,org.intermine.model.bio.Exon
,,exon.58460,96,2036057,,,,2035638,2036056,1000026,5018010,2000012,org.intermine.model.bio.Exon
gene.58490,,PFE0490w,945,2036059,,,,2035638,2036058,1000026,5018011,1000081,org.intermine.model.bio.Gene
,,exon.58492,945,2036064,,,,2035638,2036063,1000026,5018012,2000012,org.intermine.model.bio.Exon
gene.58505,,PFE0505w,2244,2036066,,,,2035638,2036065,1000026,5018013,1000081,org.intermine.model.bio.Gene
,,exon.58507,2244,2036071,,,,2035638,2036070,1000026,5018014,2000012,org.intermine.model.bio.Exon
gene.58565,,PFE0565w,1146,2036073,,,,2035638,2036072,1000026,5018015,1000081,org.intermine.model.bio.Gene
,,exon.58567,1146,2036078,,,,2035638,2036077,1000026,5018016,2000012,org.intermine.model.bio.Exon
gene.58605,,PFE0610c,783,2036080,,,,2035638,2036079,1000026,5018017,1000081,org.intermine.model.bio.Gene
,,exon.58607,783,2036085,,,,2035638,2036084,1000026,5018018,2000012,org.intermine.model.bio.Exon
gene.58649,,PFE0660c,738,2036087,,,,2035638,2036086,1000026,5018019,1000081,org.intermine.model.bio.Gene
,,exon.58651,738,2036092,,,,2035638,2036091,1000026,5018020,2000012,org.intermine.model.bio.Exon
gene.58680,,PFE0690c,624,2036094,,,,2035638,2036093,1000026,5018021,1000081,org.intermine.model.bio.Gene
,,exon.58682,624,2036099,,,,2035638,2036098,1000026,5018022,2000012,org.intermine.model.bio.Exon
gene.58705,,MAL5_tRNA_Phe1,73,2036101,,,,2035638,2036100,1000026,5018023,1000081,org.intermine.model.bio.Gene
,,exon.58707,73,2036106,,,,2035638,2036105,1000026,5018024,2000012,org.intermine.model.bio.Exon
gene.58709,,PFE0725c,933,2036108,,,,2035638,2036107,1000026,5018025,1000081,org.intermine.model.bio.Gene
,,exon.58713,155,2036113,,,,2035638,2036112,1000026,5018026,2000012,org.intermine.model.bio.Exon
,,exon.58712,261,2036115,,,,2035638,2036114,1000026,5018027,2000012,org.intermine.model.bio.Exon
,,exon.58711,184,2036117,,,,2035638,2036116,1000026,5018028,2000012,org.intermine.model.bio.Exon
gene.59015,,PFE1055c,1691,2036119,,,,2035638,2036118,1000026,5018029,1000081,org.intermine.model.bio.Gene
,,exon.59018,1384,2036124,,,,2035638,2036123,1000026,5018030,2000012,org.intermine.model.bio.Exon
,,exon.59017,173,2036126,,,,2035638,2036125,1000026,5018031,2000012,org.intermine.model.bio.Exon
gene.59284,,PFE1315w,1086,2036128,,,,2035638,2036127,1000026,5018032,1000081,org.intermine.model.bio.Gene
,,exon.59286,1086,2036133,,,,2035638,2036132,1000026,5018033,2000012,org.intermine.model.bio.Exon
gene.59288,,PFE1320w,4155,2036135,,,,2035638,2036134,1000026,5018034,1000081,org.intermine.model.bio.Gene
,,exon.59290,4155,2036140,,,,2035638,2036139,1000026,5018035,2000012,org.intermine.model.bio.Exon
gene.58808,,PFE0825w,2152,2036142,,,,2035638,2036141,1000026,5018036,1000081,org.intermine.model.bio.Gene
,,exon.58815,100,2036147,,,,2035638,2036146,1000026,5018037,2000012,org.intermine.model.bio.Exon
,,exon.58810,65,2036149,,,,2035638,2036148,1000026,5018038,2000012,org.intermine.model.bio.Exon
,,exon.58814,104,2036151,,,,2035638,2036150,1000026,5018039,2000012,org.intermine.model.bio.Exon
,,exon.58812,61,2036153,,,,2035638,2036152,1000026,5018040,2000012,org.intermine.model.bio.Exon
,,exon.58811,860,2036155,,,,2035638,2036154,1000026,5018041,2000012,org.intermine.model.bio.Exon
,,exon.58813,133,2036157,,,,2035638,2036156,1000026,5018042,2000012,org.intermine.model.bio.Exon
gene.59069,,PFE1105c,2292,2036159,,,,2035638,2036158,1000026,5018043,1000081,org.intermine.model.bio.Gene
,,exon.59071,2292,2036164,,,,2035638,2036163,1000026,5018044,2000012,org.intermine.model.bio.Exon
gene.59334,,PFE1370w,1742,2036166,,,,2035638,2036165,1000026,5018045,1000081,org.intermine.model.bio.Gene
,,exon.59337,19,2036171,,,,2035638,2036170,1000026,5018046,2000012,org.intermine.model.bio.Exon
,,exon.59336,1358,2036173,,,,2035638,2036172,1000026,5018047,2000012,org.intermine.model.bio.Exon
gene.59102,,PFE1130w,1452,2036175,,,,2035638,2036174,1000026,5018048,1000081,org.intermine.model.bio.Gene
,,exon.59104,1452,2036180,,,,2035638,2036179,1000026,5018049,2000012,org.intermine.model.bio.Exon
gene.59391,,PFE1420w,1935,2036182,,,,2035638,2036181,1000026,5018050,1000081,org.intermine.model.bio.Gene
,,exon.59401,88,2036187,,,,2035638,2036186,1000026,5018051,2000012,org.intermine.model.bio.Exon
,,exon.59399,113,2036189,,,,2035638,2036188,1000026,5018052,2000012,org.intermine.model.bio.Exon
,,exon.59396,87,2036191,,,,2035638,2036190,1000026,5018053,2000012,org.intermine.model.bio.Exon
,,exon.59400,62,2036193,,,,2035638,2036192,1000026,5018054,2000012,org.intermine.model.bio.Exon
,,exon.59395,213,2036195,,,,2035638,2036194,1000026,5018055,2000012,org.intermine.model.bio.Exon
,,exon.59397,67,2036197,,,,2035638,2036196,1000026,5018056,2000012,org.intermine.model.bio.Exon
,,exon.59394,93,2036199,,,,2035638,2036198,1000026,5018057,2000012,org.intermine.model.bio.Exon
,,exon.59398,94,2036201,,,,2035638,2036200,1000026,5018058,2000012,org.intermine.model.bio.Exon
,,exon.59393,128,2036203,,,,2035638,2036202,1000026,5018059,2000012,org.intermine.model.bio.Exon
gene.59443,,PFE1460w,1075,2036205,,,,2035638,2036204,1000026,5018060,1000081,org.intermine.model.bio.Gene
,,exon.59446,747,2036210,,,,2035638,2036209,1000026,5018061,2000012,org.intermine.model.bio.Exon
,,exon.59445,93,2036212,,,,2035638,2036211,1000026,5018062,2000012,org.intermine.model.bio.Exon
gene.58915,,PFE0940c,436,2036214,,,,2035638,2036213,1000026,5018063,1000081,org.intermine.model.bio.Gene
,,exon.58918,240,2036219,,,,2035638,2036218,1000026,5018064,2000012,org.intermine.model.bio.Exon
,,exon.58917,117,2036221,,,,2035638,2036220,1000026,5018065,2000012,org.intermine.model.bio.Exon
gene.58921,,PFE0945c,678,2036223,,,,2035638,2036222,1000026,5018066,1000081,org.intermine.model.bio.Gene
,,exon.58924,226,2036228,,,,2035638,2036227,1000026,5018067,2000012,org.intermine.model.bio.Exon
,,exon.58923,248,2036230,,,,2035638,2036229,1000026,5018068,2000012,org.intermine.model.bio.Exon
gene.58931,,PFE0955w,882,2036232,,,,2035638,2036231,1000026,5018069,1000081,org.intermine.model.bio.Gene
,,exon.58933,882,2036237,,,,2035638,2036236,1000026,5018070,2000012,org.intermine.model.bio.Exon
gene.58934,,PFE0960w,330,2036239,,,,2035638,2036238,1000026,5018071,1000081,org.intermine.model.bio.Gene
,,exon.58936,330,2036244,,,,2035638,2036243,1000026,5018072,2000012,org.intermine.model.bio.Exon
gene.59191,,PFE1215c,1098,2036246,,,,2035638,2036245,1000026,5018073,1000081,org.intermine.model.bio.Gene
,,exon.59193,1098,2036251,,,,2035638,2036250,1000026,5018074,2000012,org.intermine.model.bio.Exon
gene.59219,,PFE1255w,5792,2036253,,,,2035638,2036252,1000026,5018075,1000081,org.intermine.model.bio.Gene
,,exon.59221,5414,2036258,,,,2035638,2036257,1000026,5018076,2000012,org.intermine.model.bio.Exon
,,exon.59222,92,2036260,,,,2035638,2036259,1000026,5018077,2000012,org.intermine.model.bio.Exon
,,exon.59223,44,2036262,,,,2035638,2036261,1000026,5018078,2000012,org.intermine.model.bio.Exon
gene.59490,,PFE1500c,294,2036264,,,,2035638,2036263,1000026,5018079,1000081,org.intermine.model.bio.Gene
,,exon.59492,294,2036269,,,,2035638,2036268,1000026,5018080,2000012,org.intermine.model.bio.Exon
gene.59242,,PFE1280w,770,2036271,,,,2035638,2036270,1000026,5018081,1000081,org.intermine.model.bio.Gene
,,exon.59244,252,2036276,,,,2035638,2036275,1000026,5018082,2000012,org.intermine.model.bio.Exon
,,exon.59245,144,2036278,,,,2035638,2036277,1000026,5018083,2000012,org.intermine.model.bio.Exon
gene.59532,,PFE1540w,1646,2036280,,,,2035638,2036279,1000026,5018084,1000081,org.intermine.model.bio.Gene
,,exon.59542,27,2036285,,,,2035638,2036284,1000026,5018085,2000012,org.intermine.model.bio.Exon
,,exon.59539,52,2036287,,,,2035638,2036286,1000026,5018086,2000012,org.intermine.model.bio.Exon
,,exon.59535,83,2036289,,,,2035638,2036288,1000026,5018087,2000012,org.intermine.model.bio.Exon
,,exon.59534,55,2036291,,,,2035638,2036290,1000026,5018088,2000012,org.intermine.model.bio.Exon
,,exon.59538,123,2036293,,,,2035638,2036292,1000026,5018089,2000012,org.intermine.model.bio.Exon
,,exon.59537,48,2036295,,,,2035638,2036294,1000026,5018090,2000012,org.intermine.model.bio.Exon
,,exon.59541,129,2036297,,,,2035638,2036296,1000026,5018091,2000012,org.intermine.model.bio.Exon
,,exon.59536,142,2036299,,,,2035638,2036298,1000026,5018092,2000012,org.intermine.model.bio.Exon
,,exon.59540,85,2036301,,,,2035638,2036300,1000026,5018093,2000012,org.intermine.model.bio.Exon
gene.58041,,PFE0025c,1113,2036303,,,,2035638,2036302,1000026,5018094,1000081,org.intermine.model.bio.Gene
,,exon.58043,861,2036308,,,,2035638,2036307,1000026,5018095,2000012,org.intermine.model.bio.Exon
,,exon.58044,81,2036310,,,,2035638,2036309,1000026,5018096,2000012,org.intermine.model.bio.Exon
gene.58117,,PFE0110w,1482,2036312,,,,2035638,2036311,1000026,5018097,1000081,org.intermine.model.bio.Gene
,,exon.58120,79,2036317,,,,2035638,2036316,1000026,5018098,2000012,org.intermine.model.bio.Exon
,,exon.58119,1253,2036319,,,,2035638,2036318,1000026,5018099,2000012,org.intermine.model.bio.Exon
gene.58131,,PFE0125w,1785,2036321,,,,2035638,2036320,1000026,5018100,1000081,org.intermine.model.bio.Gene
,,exon.58133,1785,2036326,,,,2035638,2036325,1000026,5018101,2000012,org.intermine.model.bio.Exon
gene.58196,,PFE0185c,963,2036328,,,,2035638,2036327,1000026,5018102,1000081,org.intermine.model.bio.Gene
,,exon.58200,198,2036333,,,,2035638,2036332,1000026,5018103,2000012,org.intermine.model.bio.Exon
,,exon.58198,155,2036335,,,,2035638,2036334,1000026,5018104,2000012,org.intermine.model.bio.Exon
,,exon.58199,10,2036337,,,,2035638,2036336,1000026,5018105,2000012,org.intermine.model.bio.Exon
gene.58247,,PFE0230w,7050,2036339,,,,2035638,2036338,1000026,5018106,1000081,org.intermine.model.bio.Gene
