secondaryidentifier,symbol,primaryidentifier,length,id,name,scoretype,score,chromosomeid,chromosomelocationid,organismid,proteinid,sequenceid,sequenceontologytermid,geneid,class
,,mRNA.46645,561,2000564,,,,2000003,2000563,1000026,,5019094,2000009,2000561,org.intermine.model.bio.MRNA
,,mRNA.46670,1116,2000571,,,,2000003,2000570,1000026,,5019096,2000009,2000568,org.intermine.model.bio.MRNA
,,mRNA.46693,246,2000586,,,,2000003,2000585,1000026,,5019098,2000009,2000583,org.intermine.model.bio.MRNA
,,mRNA.46765,1296,2000597,,,,2000003,2000596,1000026,,5019100,2000009,2000594,org.intermine.model.bio.MRNA
,,mRNA.46857,1107,2000606,,,,2000003,2000605,1000026,,5019102,2000009,2000603,org.intermine.model.bio.MRNA
,,mRNA.46870,433,2000615,,,,2000003,2000614,1000026,,5019104,2000009,2000612,org.intermine.model.bio.MRNA
,,mRNA.46877,6612,2000622,,,,2000003,2000621,1000026,,5019106,2000009,2000619,org.intermine.model.bio.MRNA
,,mRNA.46298,1728,2000631,,,,2000003,2000630,1000026,,5019108,2000009,2000628,org.intermine.model.bio.MRNA
,,mRNA.46126,112,2000638,,,,2000003,2000637,1000026,,5019110,2000009,2000635,org.intermine.model.bio.MRNA
,,mRNA.46138,1035,2000645,,,,2000003,2000644,1000026,,5019112,2000009,2000642,org.intermine.model.bio.MRNA
,,mRNA.46182,1032,2000654,,,,2000003,2000653,1000026,,5019114,2000009,2000651,org.intermine.model.bio.MRNA
,,mRNA.46188,564,2000663,,,,2000003,2000662,1000026,,5019116,2000009,2000660,org.intermine.model.bio.MRNA
,,mRNA.46208,1005,2000676,,,,2000003,2000675,1000026,,5019118,2000009,2000673,org.intermine.model.bio.MRNA
,,mRNA.46254,2811,2000685,,,,2000003,2000684,1000026,,5019120,2000009,2000682,org.intermine.model.bio.MRNA
,,mRNA.46259,4863,2000696,,,,2000003,2000695,1000026,,5019122,2000009,2000693,org.intermine.model.bio.MRNA
,,mRNA.46367,3675,2000703,,,,2000003,2000702,1000026,,5019124,2000009,2000700,org.intermine.model.bio.MRNA
,,mRNA.46390,1152,2000714,,,,2000003,2000713,1000026,,5019126,2000009,2000711,org.intermine.model.bio.MRNA
,,mRNA.46417,645,2000721,,,,2000003,2000720,1000026,,5019128,2000009,2000718,org.intermine.model.bio.MRNA
,,mRNA.46584,2352,2000744,,,,2000003,2000743,1000026,,5019130,2000009,2000741,org.intermine.model.bio.MRNA
,,mRNA.46613,2805,2000789,,,,2000003,2000788,1000026,,5019132,2000009,2000786,org.intermine.model.bio.MRNA
,,mRNA.46623,6858,2000796,,,,2000003,2000795,1000026,,5019134,2000009,2000793,org.intermine.model.bio.MRNA
,,mRNA.46725,876,2000805,,,,2000003,2000804,1000026,,5019136,2000009,2000802,org.intermine.model.bio.MRNA
,,mRNA.46745,2022,2000812,,,,2000003,2000811,1000026,,5019138,2000009,2000809,org.intermine.model.bio.MRNA
,,mRNA.46843,5778,2000821,,,,2000003,2000820,1000026,,5019140,2000009,2000818,org.intermine.model.bio.MRNA
,,mRNA.46866,906,2000832,,,,2000003,2000831,1000026,,5019142,2000009,2000829,org.intermine.model.bio.MRNA
,,mRNA.46342,1734,2000841,,,,2000003,2000840,1000026,,5019144,2000009,2000838,org.intermine.model.bio.MRNA
,,mRNA.46160,579,2000848,,,,2000003,2000847,1000026,,5019146,2000009,2000845,org.intermine.model.bio.MRNA
,,mRNA.46163,828,2000855,,,,2000003,2000854,1000026,,5019148,2000009,2000852,org.intermine.model.bio.MRNA
,,mRNA.46194,627,2000862,,,,2000003,2000861,1000026,,5019150,2000009,2000859,org.intermine.model.bio.MRNA
,,mRNA.46245,4905,2000871,,,,2000003,2000870,1000026,,5019152,2000009,2000868,org.intermine.model.bio.MRNA
,,mRNA.46357,423,2000878,,,,2000003,2000877,1000026,,5019154,2000009,2000875,org.intermine.model.bio.MRNA
,,mRNA.46383,2904,2000887,,,,2000003,2000886,1000026,,5019156,2000009,2000884,org.intermine.model.bio.MRNA
,,mRNA.46411,900,2000896,,,,2000003,2000895,1000026,,5019158,2000009,2000893,org.intermine.model.bio.MRNA
,,mRNA.46440,1632,2000903,,,,2000003,2000902,1000026,,5019160,2000009,2000900,org.intermine.model.bio.MRNA
,,mRNA.46488,3357,2000910,,,,2000003,2000909,1000026,,5019162,2000009,2000907,org.intermine.model.bio.MRNA
,,mRNA.46492,657,2000919,,,,2000003,2000918,1000026,,5019164,2000009,2000916,org.intermine.model.bio.MRNA
,,mRNA.46503,6666,2000926,,,,2000003,2000925,1000026,,5019166,2000009,2000923,org.intermine.model.bio.MRNA
,,mRNA.46640,1104,2000933,,,,2000003,2000932,1000026,,5019168,2000009,2000930,org.intermine.model.bio.MRNA
,,mRNA.46656,294,2000944,,,,2000003,2000943,1000026,,5019170,2000009,2000941,org.intermine.model.bio.MRNA
,,mRNA.46664,2481,2000955,,,,2000003,2000954,1000026,,5019172,2000009,2000952,org.intermine.model.bio.MRNA
,,mRNA.46680,354,2000964,,,,2000003,2000963,1000026,,5019174,2000009,2000961,org.intermine.model.bio.MRNA
,,mRNA.46683,1914,2000971,,,,2000003,2000970,1000026,,5019176,2000009,2000968,org.intermine.model.bio.MRNA
,,mRNA.46704,492,2000992,,,,2000003,2000991,1000026,,5019178,2000009,2000989,org.intermine.model.bio.MRNA
,,mRNA.46713,2149,2000999,,,,2000003,2000998,1000026,,5019180,2000009,2000996,org.intermine.model.bio.MRNA
,,mRNA.46769,246,2001006,,,,2000003,2001005,1000026,,5019182,2000009,2001003,org.intermine.model.bio.MRNA
,,mRNA.46781,1209,2001013,,,,2000003,2001012,1000026,,5019184,2000009,2001010,org.intermine.model.bio.MRNA
,,mRNA.46787,8703,2001026,,,,2000003,2001025,1000026,,5019186,2000009,2001023,org.intermine.model.bio.MRNA
,,mRNA.46799,4356,2001039,,,,2000003,2001038,1000026,,5019188,2000009,2001036,org.intermine.model.bio.MRNA
,,mRNA.46818,333,2001048,,,,2000003,2001047,1000026,,5019190,2000009,2001045,org.intermine.model.bio.MRNA
,,mRNA.46848,270,2001057,,,,2000003,2001056,1000026,,5019192,2000009,2001054,org.intermine.model.bio.MRNA
,,mRNA.46861,1011,2001064,,,,2000003,2001063,1000026,,5019194,2000009,2001061,org.intermine.model.bio.MRNA
,,mRNA.46303,492,2001073,,,,2000003,2001072,1000026,,5019196,2000009,2001070,org.intermine.model.bio.MRNA
,,mRNA.46110,6492,2001084,,,,2000003,2001083,1000026,,5019198,2000009,2001081,org.intermine.model.bio.MRNA
,,mRNA.46114,996,2001093,,,,2000003,2001092,1000026,,5019200,2000009,2001090,org.intermine.model.bio.MRNA
,,mRNA.46173,1362,2001102,,,,2000003,2001101,1000026,,5019202,2000009,2001099,org.intermine.model.bio.MRNA
,,mRNA.46248,1305,2001109,,,,2000003,2001108,1000026,,5019204,2000009,2001106,org.intermine.model.bio.MRNA
,,mRNA.46286,1143,2001118,,,,2000003,2001117,1000026,,5019206,2000009,2001115,org.intermine.model.bio.MRNA
,,mRNA.46350,1707,2001143,,,,2000003,2001142,1000026,,5019208,2000009,2001140,org.intermine.model.bio.MRNA
,,mRNA.46393,600,2001150,,,,2000003,2001149,1000026,,5019210,2000009,2001147,org.intermine.model.bio.MRNA
,,mRNA.46397,3687,2001159,,,,2000003,2001158,1000026,,5019212,2000009,2001156,org.intermine.model.bio.MRNA
,,mRNA.46484,1374,2001170,,,,2000003,2001169,1000026,,5019214,2000009,2001167,org.intermine.model.bio.MRNA
,,mRNA.46506,924,2001179,,,,2000003,2001178,1000026,,5019216,2000009,2001176,org.intermine.model.bio.MRNA
,,mRNA.46568,468,2001204,,,,2000003,2001203,1000026,,5019218,2000009,2001201,org.intermine.model.bio.MRNA
,,mRNA.46577,621,2001213,,,,2000003,2001212,1000026,,5019220,2000009,2001210,org.intermine.model.bio.MRNA
,,mRNA.46616,432,2001222,,,,2000003,2001221,1000026,,5019222,2000009,2001219,org.intermine.model.bio.MRNA
,,mRNA.46627,5133,2001229,,,,2000003,2001228,1000026,,5019224,2000009,2001226,org.intermine.model.bio.MRNA
,,mRNA.46721,121,2001248,,,,2000003,2001247,1000026,,5019226,2000009,2001245,org.intermine.model.bio.MRNA
,,mRNA.46776,2595,2001255,,,,2000003,2001254,1000026,,5019228,2000009,2001252,org.intermine.model.bio.MRNA
,,mRNA.46793,732,2001266,,,,2000003,2001265,1000026,,5019230,2000009,2001263,org.intermine.model.bio.MRNA
,,mRNA.46806,1044,2001275,,,,2000003,2001274,1000026,,5019232,2000009,2001272,org.intermine.model.bio.MRNA
,,mRNA.46308,2376,2001284,,,,2000003,2001283,1000026,,5019234,2000009,2001281,org.intermine.model.bio.MRNA
,,mRNA.46320,3321,2001293,,,,2000003,2001292,1000026,,5019236,2000009,2001290,org.intermine.model.bio.MRNA
,,mRNA.46142,1053,2001304,,,,2000003,2001303,1000026,,5019238,2000009,2001301,org.intermine.model.bio.MRNA
,,mRNA.46146,1077,2001313,,,,2000003,2001312,1000026,,5019240,2000009,2001310,org.intermine.model.bio.MRNA
,,mRNA.46152,930,2001322,,,,2000003,2001321,1000026,,5019242,2000009,2001319,org.intermine.model.bio.MRNA
,,mRNA.46166,238,2001331,,,,2000003,2001330,1000026,,5019244,2000009,2001328,org.intermine.model.bio.MRNA
,,mRNA.46231,1692,2001338,,,,2000003,2001337,1000026,,5019246,2000009,2001335,org.intermine.model.bio.MRNA
,,mRNA.46235,1881,2001347,,,,2000003,2001346,1000026,,5019248,2000009,2001344,org.intermine.model.bio.MRNA
,,mRNA.46238,612,2001354,,,,2000003,2001353,1000026,,5019250,2000009,2001351,org.intermine.model.bio.MRNA
,,mRNA.46262,5454,2001369,,,,2000003,2001368,1000026,,5019252,2000009,2001366,org.intermine.model.bio.MRNA
,,mRNA.46279,1524,2001388,,,,2000003,2001387,1000026,,5019254,2000009,2001385,org.intermine.model.bio.MRNA
,,mRNA.46372,9192,2001401,,,,2000003,2001400,1000026,,5019256,2000009,2001398,org.intermine.model.bio.MRNA
,,mRNA.46429,2205,2001408,,,,2000003,2001407,1000026,,5019258,2000009,2001405,org.intermine.model.bio.MRNA
,,mRNA.46470,4413,2001415,,,,2000003,2001414,1000026,,5019260,2000009,2001412,org.intermine.model.bio.MRNA
,,mRNA.46495,615,2001428,,,,2000003,2001427,1000026,,5019262,2000009,2001425,org.intermine.model.bio.MRNA
,,mRNA.46537,1083,2001439,,,,2000003,2001438,1000026,,5019264,2000009,2001436,org.intermine.model.bio.MRNA
,,mRNA.46553,3090,2001466,,,,2000003,2001465,1000026,,5019266,2000009,2001463,org.intermine.model.bio.MRNA
,,mRNA.46619,750,2001475,,,,2000003,2001474,1000026,,5019268,2000009,2001472,org.intermine.model.bio.MRNA
,,mRNA.46637,1341,2001484,,,,2000003,2001483,1000026,,5019270,2000009,2001481,org.intermine.model.bio.MRNA
,,mRNA.46648,5010,2001491,,,,2000003,2001490,1000026,,5019272,2000009,2001488,org.intermine.model.bio.MRNA
,,mRNA.46661,3504,2001508,,,,2000003,2001507,1000026,,5019274,2000009,2001505,org.intermine.model.bio.MRNA
,,mRNA.46803,561,2001515,,,,2000003,2001514,1000026,,5019276,2000009,2001512,org.intermine.model.bio.MRNA
,,mRNA.46812,1158,2001522,,,,2000003,2001521,1000026,,5019278,2000009,2001519,org.intermine.model.bio.MRNA
,,mRNA.46825,972,2001529,,,,2000003,2001528,1000026,,5019280,2000009,2001526,org.intermine.model.bio.MRNA
,,mRNA.46873,1140,2001538,,,,2000003,2001537,1000026,,5019282,2000009,2001535,org.intermine.model.bio.MRNA
,,mRNA.28255,1050,2001547,,,,2001543,2001546,1000026,,5019284,2000009,1020958,org.intermine.model.bio.MRNA
,,mRNA.28267,4038,2001557,,,,2001543,2001556,1000026,,5019286,2000009,1030026,org.intermine.model.bio.MRNA
,,mRNA.28272,2340,2001565,,,,2001543,2001564,1000026,,5019288,2000009,1002780,org.intermine.model.bio.MRNA
,,mRNA.28287,357,2001573,,,,2001543,2001572,1000026,,5019290,2000009,1019037,org.intermine.model.bio.MRNA
,,mRNA.28695,5223,2001583,,,,2001543,2001582,1000026,,5019292,2000009,1022042,org.intermine.model.bio.MRNA
,,mRNA.29085,1812,2001593,,,,2001543,2001592,1000026,,5019294,2000009,1021323,org.intermine.model.bio.MRNA
,,mRNA.29092,195,2001599,,,,2001543,2001598,1000026,,5019296,2000009,1028594,org.intermine.model.bio.MRNA
,,mRNA.29577,1230,2001605,,,,2001543,2001604,1000026,,5019298,2000009,1022397,org.intermine.model.bio.MRNA
,,mRNA.29627,363,2001619,,,,2001543,2001618,1000026,,5019300,2000009,1026707,org.intermine.model.bio.MRNA
,,mRNA.29638,879,2001632,,,,2001543,2001631,1000026,,5019302,2000009,2001629,org.intermine.model.bio.MRNA
,,mRNA.29647,31770,2001650,,,,2001543,2001649,1000026,,5019304,2000009,1026418,org.intermine.model.bio.MRNA
,,mRNA.29704,225,2001668,,,,2001543,2001667,1000026,,5019306,2000009,1015079,org.intermine.model.bio.MRNA
,,mRNA.29735,930,2001674,,,,2001543,2001673,1000026,,5019308,2000009,1020186,org.intermine.model.bio.MRNA
,,mRNA.27842,6726,2001682,,,,2001543,2001681,1000026,,5019310,2000009,1010147,org.intermine.model.bio.MRNA
,,mRNA.28308,669,2001690,,,,2001543,2001689,1000026,,5019312,2000009,1018766,org.intermine.model.bio.MRNA
,,mRNA.28322,768,2001698,,,,2001543,2001697,1000026,,5019314,2000009,1029761,org.intermine.model.bio.MRNA
,,mRNA.28737,2814,2001704,,,,2001543,2001703,1000026,,5019316,2000009,1010614,org.intermine.model.bio.MRNA
,,mRNA.29108,1563,2001712,,,,2001543,2001711,1000026,,5019318,2000009,1011994,org.intermine.model.bio.MRNA
,,mRNA.29111,1182,2001718,,,,2001543,2001717,1000026,,5019320,2000009,1010753,org.intermine.model.bio.MRNA
,,mRNA.27894,696,2001728,,,,2001543,2001727,1000026,,5019322,2000009,1012570,org.intermine.model.bio.MRNA
,,mRNA.29217,1668,2001736,,,,2001543,2001735,1000026,,5019324,2000009,1018643,org.intermine.model.bio.MRNA
,,mRNA.27979,4278,2001742,,,,2001543,2001741,1000026,,5019326,2000009,1007263,org.intermine.model.bio.MRNA
,,mRNA.27983,327,2001748,,,,2001543,2001747,1000026,,5019328,2000009,1028709,org.intermine.model.bio.MRNA
,,mRNA.28430,3663,2001760,,,,2001543,2001759,1000026,,5019330,2000009,1010913,org.intermine.model.bio.MRNA
,,mRNA.28864,6873,2001768,,,,2001543,2001767,1000026,,5019332,2000009,1013769,org.intermine.model.bio.MRNA
,,mRNA.28031,3573,2001774,,,,2001543,2001773,1000026,,5019334,2000009,1022152,org.intermine.model.bio.MRNA
,,mRNA.28472,3225,2001798,,,,2001543,2001797,1000026,,5019336,2000009,1011076,org.intermine.model.bio.MRNA
,,mRNA.28510,915,2001804,,,,2001543,2001803,1000026,,5019338,2000009,1026208,org.intermine.model.bio.MRNA
,,mRNA.28890,1617,2001810,,,,2001543,2001809,1000026,,5019340,2000009,1008668,org.intermine.model.bio.MRNA
,,mRNA.28078,2250,2001822,,,,2001543,2001821,1000026,,5019342,2000009,1019770,org.intermine.model.bio.MRNA
,,mRNA.28083,3396,2001828,,,,2001543,2001827,1000026,,5019344,2000009,1013890,org.intermine.model.bio.MRNA
,,mRNA.28543,1848,2001834,,,,2001543,2001833,1000026,,5019346,2000009,1031694,org.intermine.model.bio.MRNA
,,mRNA.28964,483,2001840,,,,2001543,2001839,1000026,,5019348,2000009,1016783,org.intermine.model.bio.MRNA
,,mRNA.29330,1278,2001846,,,,2001543,2001845,1000026,,5019350,2000009,1018486,org.intermine.model.bio.MRNA
,,mRNA.28118,525,2001856,,,,2001543,2001855,1000026,,5019352,2000009,1029919,org.intermine.model.bio.MRNA
,,mRNA.28130,2613,2001870,,,,2001543,2001869,1000026,,5019354,2000009,1012109,org.intermine.model.bio.MRNA
,,mRNA.28136,582,2001876,,,,2001543,2001875,1000026,,5019356,2000009,1008805,org.intermine.model.bio.MRNA
,,mRNA.28139,1050,2001882,,,,2001543,2001881,1000026,,5019358,2000009,1023307,org.intermine.model.bio.MRNA
,,mRNA.28577,1857,2001890,,,,2001543,2001889,1000026,,5019360,2000009,1023046,org.intermine.model.bio.MRNA
,,mRNA.28978,204,2001900,,,,2001543,2001899,1000026,,5019362,2000009,1007834,org.intermine.model.bio.MRNA
,,mRNA.28995,4716,2001908,,,,2001543,2001907,1000026,,5019364,2000009,1024224,org.intermine.model.bio.MRNA
,,mRNA.28183,1941,2001914,,,,2001543,2001913,1000026,,5019366,2000009,1027320,org.intermine.model.bio.MRNA
,,mRNA.28634,2916,2001922,,,,2001543,2001921,1000026,,5019368,2000009,1030365,org.intermine.model.bio.MRNA
,,mRNA.28640,3411,2001928,,,,2001543,2001927,1000026,,5019370,2000009,1011603,org.intermine.model.bio.MRNA
,,mRNA.28223,1119,2001938,,,,2001543,2001937,1000026,,5019372,2000009,1006110,org.intermine.model.bio.MRNA
,,mRNA.28234,729,2001944,,,,2001543,2001943,1000026,,5019374,2000009,1018494,org.intermine.model.bio.MRNA
,,mRNA.28246,2748,2001952,,,,2001543,2001951,1000026,,5019376,2000009,1002888,org.intermine.model.bio.MRNA
,,mRNA.28280,897,2001958,,,,2001543,2001957,1000026,,5019378,2000009,1009057,org.intermine.model.bio.MRNA
,,mRNA.29071,591,2001964,,,,2001543,2001963,1000026,,5019380,2000009,1025543,org.intermine.model.bio.MRNA
,,mRNA.29078,1767,2001978,,,,2001543,2001977,1000026,,5019382,2000009,1017978,org.intermine.model.bio.MRNA
,,mRNA.29465,396,2001984,,,,2001543,2001983,1000026,,5019384,2000009,1031829,org.intermine.model.bio.MRNA
,,mRNA.29489,1065,2001998,,,,2001543,2001997,1000026,,5019386,2000009,1030021,org.intermine.model.bio.MRNA
,,mRNA.29513,1218,2002004,,,,2001543,2002003,1000026,,5019388,2000009,1012890,org.intermine.model.bio.MRNA
,,mRNA.29573,276,2002010,,,,2001543,2002009,1000026,,5019390,2000009,1013389,org.intermine.model.bio.MRNA
,,mRNA.29592,2130,2002018,,,,2001543,2002017,1000026,,5019392,2000009,1028230,org.intermine.model.bio.MRNA
,,mRNA.29656,1125,2002024,,,,2001543,2002023,1000026,,5019394,2000009,1001095,org.intermine.model.bio.MRNA
,,mRNA.29670,2736,2002032,,,,2001543,2002031,1000026,,5019396,2000009,1014133,org.intermine.model.bio.MRNA
,,mRNA.29678,2742,2002040,,,,2001543,2002039,1000026,,5019398,2000009,1021915,org.intermine.model.bio.MRNA
,,mRNA.29729,1080,2002050,,,,2001543,2002049,1000026,,5019400,2000009,1013643,org.intermine.model.bio.MRNA
,,mRNA.29792,1005,2002058,,,,2001543,2002057,1000026,,5019402,2000009,1025668,org.intermine.model.bio.MRNA
,,mRNA.27861,1224,2002066,,,,2001543,2002065,1000026,,5019404,2000009,1023182,org.intermine.model.bio.MRNA
,,mRNA.28293,897,2002076,,,,2001543,2002075,1000026,,5019406,2000009,1027978,org.intermine.model.bio.MRNA
,,mRNA.27890,435,2002088,,,,2001543,2002087,1000026,,5019408,2000009,1030848,org.intermine.model.bio.MRNA
,,mRNA.27918,324,2002096,,,,2001543,2002095,1000026,,5019410,2000009,1029372,org.intermine.model.bio.MRNA
,,mRNA.28375,2382,2002102,,,,2001543,2002101,1000026,,5019412,2000009,1031837,org.intermine.model.bio.MRNA
,,mRNA.28773,2310,2002124,,,,2001543,2002123,1000026,,5019414,2000009,1019935,org.intermine.model.bio.MRNA
,,mRNA.29186,2517,2002130,,,,2001543,2002129,1000026,,5019416,2000009,1012565,org.intermine.model.bio.MRNA
,,mRNA.28386,1164,2002140,,,,2001543,2002139,1000026,,5019418,2000009,1007402,org.intermine.model.bio.MRNA
,,mRNA.28410,4317,2002148,,,,2001543,2002147,1000026,,5019420,2000009,1024841,org.intermine.model.bio.MRNA
,,mRNA.28818,5805,2002158,,,,2001543,2002157,1000026,,5019422,2000009,1016259,org.intermine.model.bio.MRNA
,,mRNA.28020,3708,2002168,,,,2001543,2002167,1000026,,5019424,2000009,1010042,org.intermine.model.bio.MRNA
,,mRNA.28833,1884,2002174,,,,2001543,2002173,1000026,,5019426,2000009,1004290,org.intermine.model.bio.MRNA
,,mRNA.28844,2043,2002192,,,,2001543,2002191,1000026,,5019428,2000009,1028955,org.intermine.model.bio.MRNA
