intermine_start,intermine_end,strand,id,featureid,locatedonid,class
301369,302022,-1,2000378,2000379,2000003,org.intermine.model.bio.Location
301369,302022,1,2000381,2000382,2000003,org.intermine.model.bio.Location
301369,301502,-1,2000383,2000384,2000003,org.intermine.model.bio.Location
301689,302022,-1,2000385,2000386,2000003,org.intermine.model.bio.Location
351148,352779,-1,2000387,2000388,2000003,org.intermine.model.bio.Location
351148,352779,1,2000390,2000391,2000003,org.intermine.model.bio.Location
351148,351252,-1,2000392,2000393,2000003,org.intermine.model.bio.Location
351452,351526,-1,2000394,2000395,2000003,org.intermine.model.bio.Location
351698,351830,-1,2000396,2000397,2000003,org.intermine.model.bio.Location
351942,352107,-1,2000398,2000399,2000003,org.intermine.model.bio.Location
352187,352379,-1,2000400,2000401,2000003,org.intermine.model.bio.Location
352531,352779,-1,2000402,2000403,2000003,org.intermine.model.bio.Location
375592,376240,-1,2000404,2000405,2000003,org.intermine.model.bio.Location
375592,376240,1,2000407,2000408,2000003,org.intermine.model.bio.Location
375592,375963,-1,2000409,2000410,2000003,org.intermine.model.bio.Location
376112,376240,-1,2000411,2000412,2000003,org.intermine.model.bio.Location
381851,383578,1,2000413,2000414,2000003,org.intermine.model.bio.Location
381851,383578,1,2000416,2000417,2000003,org.intermine.model.bio.Location
381851,383578,1,2000418,2000419,2000003,org.intermine.model.bio.Location
389526,390230,1,2000420,2000421,2000003,org.intermine.model.bio.Location
389526,390230,1,2000423,2000424,2000003,org.intermine.model.bio.Location
389526,390230,1,2000425,2000426,2000003,org.intermine.model.bio.Location
443695,444441,-1,2000427,2000428,2000003,org.intermine.model.bio.Location
443695,444441,1,2000430,2000431,2000003,org.intermine.model.bio.Location
443695,444441,-1,2000432,2000433,2000003,org.intermine.model.bio.Location
452384,454268,-1,2000434,2000435,2000003,org.intermine.model.bio.Location
452384,454268,1,2000437,2000438,2000003,org.intermine.model.bio.Location
452384,452453,-1,2000439,2000440,2000003,org.intermine.model.bio.Location
452744,453590,-1,2000441,2000442,2000003,org.intermine.model.bio.Location
453740,453840,-1,2000443,2000444,2000003,org.intermine.model.bio.Location
453982,454268,-1,2000445,2000446,2000003,org.intermine.model.bio.Location
465876,471344,1,2000447,2000448,2000003,org.intermine.model.bio.Location
465876,471344,1,2000450,2000451,2000003,org.intermine.model.bio.Location
465876,471344,1,2000452,2000453,2000003,org.intermine.model.bio.Location
477037,477430,1,2000454,2000455,2000003,org.intermine.model.bio.Location
477037,477430,1,2000457,2000458,2000003,org.intermine.model.bio.Location
477037,477430,1,2000459,2000460,2000003,org.intermine.model.bio.Location
496393,501225,1,2000461,2000462,2000003,org.intermine.model.bio.Location
496393,501225,1,2000464,2000465,2000003,org.intermine.model.bio.Location
496393,497388,1,2000466,2000467,2000003,org.intermine.model.bio.Location
497554,501225,1,2000468,2000469,2000003,org.intermine.model.bio.Location
513235,516186,1,2000470,2000471,2000003,org.intermine.model.bio.Location
513235,516186,1,2000473,2000474,2000003,org.intermine.model.bio.Location
513235,515865,1,2000475,2000476,2000003,org.intermine.model.bio.Location
515953,516186,1,2000477,2000478,2000003,org.intermine.model.bio.Location
562299,563256,-1,2000479,2000480,2000003,org.intermine.model.bio.Location
562299,563256,1,2000482,2000483,2000003,org.intermine.model.bio.Location
562299,563256,-1,2000484,2000485,2000003,org.intermine.model.bio.Location
42590,46730,-1,2000486,2000487,2000003,org.intermine.model.bio.Location
42590,46730,1,2000489,2000490,2000003,org.intermine.model.bio.Location
42590,43840,-1,2000491,2000492,2000003,org.intermine.model.bio.Location
43998,46730,-1,2000493,2000494,2000003,org.intermine.model.bio.Location
54001,55229,-1,2000495,2000496,2000003,org.intermine.model.bio.Location
54001,55229,1,2000498,2000499,2000003,org.intermine.model.bio.Location
54001,55011,-1,2000500,2000501,2000003,org.intermine.model.bio.Location
55161,55229,-1,2000502,2000503,2000003,org.intermine.model.bio.Location
71857,72659,1,2000504,2000505,2000003,org.intermine.model.bio.Location
71857,72659,1,2000507,2000508,2000003,org.intermine.model.bio.Location
71857,71925,1,2000509,2000510,2000003,org.intermine.model.bio.Location
72036,72659,1,2000511,2000512,2000003,org.intermine.model.bio.Location
87436,88410,-1,2000513,2000514,2000003,org.intermine.model.bio.Location
87436,88410,1,2000516,2000517,2000003,org.intermine.model.bio.Location
87436,88236,-1,2000518,2000519,2000003,org.intermine.model.bio.Location
88342,88410,-1,2000520,2000521,2000003,org.intermine.model.bio.Location
272693,273641,1,2000522,2000523,2000003,org.intermine.model.bio.Location
272693,273641,1,2000525,2000526,2000003,org.intermine.model.bio.Location
272693,272754,1,2000527,2000528,2000003,org.intermine.model.bio.Location
272904,273001,1,2000529,2000530,2000003,org.intermine.model.bio.Location
273096,273181,1,2000531,2000532,2000003,org.intermine.model.bio.Location
273417,273641,1,2000533,2000534,2000003,org.intermine.model.bio.Location
331891,333861,1,2000535,2000536,2000003,org.intermine.model.bio.Location
331891,333861,1,2000538,2000539,2000003,org.intermine.model.bio.Location
331891,333861,1,2000540,2000541,2000003,org.intermine.model.bio.Location
350323,350862,1,2000542,2000543,2000003,org.intermine.model.bio.Location
350323,350862,1,2000545,2000546,2000003,org.intermine.model.bio.Location
350323,350862,1,2000547,2000548,2000003,org.intermine.model.bio.Location
379027,379752,-1,2000549,2000550,2000003,org.intermine.model.bio.Location
379027,379752,1,2000552,2000553,2000003,org.intermine.model.bio.Location
379027,379286,-1,2000554,2000555,2000003,org.intermine.model.bio.Location
379418,379471,-1,2000556,2000557,2000003,org.intermine.model.bio.Location
379614,379752,-1,2000558,2000559,2000003,org.intermine.model.bio.Location
421447,422007,-1,2000560,2000561,2000003,org.intermine.model.bio.Location
421447,422007,1,2000563,2000564,2000003,org.intermine.model.bio.Location
421447,422007,-1,2000565,2000566,2000003,org.intermine.model.bio.Location
440804,442570,-1,2000567,2000568,2000003,org.intermine.model.bio.Location
440804,442570,1,2000570,2000571,2000003,org.intermine.model.bio.Location
440804,440976,-1,2000572,2000573,2000003,org.intermine.model.bio.Location
441102,441545,-1,2000574,2000575,2000003,org.intermine.model.bio.Location
441707,441796,-1,2000576,2000577,2000003,org.intermine.model.bio.Location
441916,442003,-1,2000578,2000579,2000003,org.intermine.model.bio.Location
442250,442570,-1,2000580,2000581,2000003,org.intermine.model.bio.Location
451193,451796,-1,2000582,2000583,2000003,org.intermine.model.bio.Location
451193,451796,1,2000585,2000586,2000003,org.intermine.model.bio.Location
451193,451249,-1,2000587,2000588,2000003,org.intermine.model.bio.Location
451447,451578,-1,2000589,2000590,2000003,org.intermine.model.bio.Location
451740,451796,-1,2000591,2000592,2000003,org.intermine.model.bio.Location
509401,510897,-1,2000593,2000594,2000003,org.intermine.model.bio.Location
509401,510897,1,2000596,2000597,2000003,org.intermine.model.bio.Location
509401,510489,-1,2000598,2000599,2000003,org.intermine.model.bio.Location
510691,510897,-1,2000600,2000601,2000003,org.intermine.model.bio.Location
593569,594907,1,2000602,2000603,2000003,org.intermine.model.bio.Location
593569,594907,1,2000605,2000606,2000003,org.intermine.model.bio.Location
593569,593622,1,2000607,2000608,2000003,org.intermine.model.bio.Location
593855,594907,1,2000609,2000610,2000003,org.intermine.model.bio.Location
602412,602844,1,2000611,2000612,2000003,org.intermine.model.bio.Location
602412,602844,1,2000614,2000615,2000003,org.intermine.model.bio.Location
602412,602844,1,2000616,2000617,2000003,org.intermine.model.bio.Location
609110,616613,-1,2000618,2000619,2000003,org.intermine.model.bio.Location
609110,616613,1,2000621,2000622,2000003,org.intermine.model.bio.Location
609110,610414,-1,2000623,2000624,2000003,org.intermine.model.bio.Location
611307,616613,-1,2000625,2000626,2000003,org.intermine.model.bio.Location
173099,174826,1,2000627,2000628,2000003,org.intermine.model.bio.Location
173099,174826,1,2000630,2000631,2000003,org.intermine.model.bio.Location
173099,174826,1,2000632,2000633,2000003,org.intermine.model.bio.Location
53392,53503,-1,2000634,2000635,2000003,org.intermine.model.bio.Location
53392,53503,1,2000637,2000638,2000003,org.intermine.model.bio.Location
53392,53503,-1,2000639,2000640,2000003,org.intermine.model.bio.Location
60005,61236,1,2000641,2000642,2000003,org.intermine.model.bio.Location
60005,61236,1,2000644,2000645,2000003,org.intermine.model.bio.Location
60005,60058,1,2000646,2000647,2000003,org.intermine.model.bio.Location
60256,61236,1,2000648,2000649,2000003,org.intermine.model.bio.Location
90475,91653,-1,2000650,2000651,2000003,org.intermine.model.bio.Location
90475,91653,1,2000653,2000654,2000003,org.intermine.model.bio.Location
90475,91437,-1,2000655,2000656,2000003,org.intermine.model.bio.Location
91585,91653,-1,2000657,2000658,2000003,org.intermine.model.bio.Location
93346,94066,-1,2000659,2000660,2000003,org.intermine.model.bio.Location
93346,94066,1,2000662,2000663,2000003,org.intermine.model.bio.Location
93346,93545,-1,2000664,2000665,2000003,org.intermine.model.bio.Location
93591,93785,-1,2000666,2000667,2000003,org.intermine.model.bio.Location
93827,93919,-1,2000668,2000669,2000003,org.intermine.model.bio.Location
93991,94066,-1,2000670,2000671,2000003,org.intermine.model.bio.Location
107429,108580,-1,2000672,2000673,2000003,org.intermine.model.bio.Location
107429,108580,1,2000675,2000676,2000003,org.intermine.model.bio.Location
107429,107925,-1,2000677,2000678,2000003,org.intermine.model.bio.Location
108073,108580,-1,2000679,2000680,2000003,org.intermine.model.bio.Location
143396,146866,-1,2000681,2000682,2000003,org.intermine.model.bio.Location
143396,146866,1,2000684,2000685,2000003,org.intermine.model.bio.Location
143396,143459,-1,2000686,2000687,2000003,org.intermine.model.bio.Location
143902,146597,-1,2000688,2000689,2000003,org.intermine.model.bio.Location
146816,146866,-1,2000690,2000691,2000003,org.intermine.model.bio.Location
148149,153011,-1,2000692,2000693,2000003,org.intermine.model.bio.Location
148149,153011,1,2000695,2000696,2000003,org.intermine.model.bio.Location
148149,153011,-1,2000697,2000698,2000003,org.intermine.model.bio.Location
230528,234641,-1,2000699,2000700,2000003,org.intermine.model.bio.Location
230528,234641,1,2000702,2000703,2000003,org.intermine.model.bio.Location
230528,231621,-1,2000704,2000705,2000003,org.intermine.model.bio.Location
231870,234307,-1,2000706,2000707,2000003,org.intermine.model.bio.Location
234499,234641,-1,2000708,2000709,2000003,org.intermine.model.bio.Location
260897,262048,-1,2000710,2000711,2000003,org.intermine.model.bio.Location
260897,262048,1,2000713,2000714,2000003,org.intermine.model.bio.Location
260897,262048,-1,2000715,2000716,2000003,org.intermine.model.bio.Location
287167,289134,1,2000717,2000718,2000003,org.intermine.model.bio.Location
287167,289134,1,2000720,2000721,2000003,org.intermine.model.bio.Location
287167,287266,1,2000722,2000723,2000003,org.intermine.model.bio.Location
287485,287568,1,2000724,2000725,2000003,org.intermine.model.bio.Location
287777,287846,1,2000726,2000727,2000003,org.intermine.model.bio.Location
287995,288033,1,2000728,2000729,2000003,org.intermine.model.bio.Location
288188,288300,1,2000730,2000731,2000003,org.intermine.model.bio.Location
288430,288482,1,2000732,2000733,2000003,org.intermine.model.bio.Location
288738,288831,1,2000734,2000735,2000003,org.intermine.model.bio.Location
288928,288980,1,2000736,2000737,2000003,org.intermine.model.bio.Location
289096,289134,1,2000738,2000739,2000003,org.intermine.model.bio.Location
384396,389094,1,2000740,2000741,2000003,org.intermine.model.bio.Location
384396,389094,1,2000743,2000744,2000003,org.intermine.model.bio.Location
384396,384876,1,2000745,2000746,2000003,org.intermine.model.bio.Location
385041,385136,1,2000747,2000748,2000003,org.intermine.model.bio.Location
385316,385424,1,2000749,2000750,2000003,org.intermine.model.bio.Location
385554,385692,1,2000751,2000752,2000003,org.intermine.model.bio.Location
385781,385961,1,2000753,2000754,2000003,org.intermine.model.bio.Location
386051,386253,1,2000755,2000756,2000003,org.intermine.model.bio.Location
386418,386539,1,2000757,2000758,2000003,org.intermine.model.bio.Location
386615,386674,1,2000759,2000760,2000003,org.intermine.model.bio.Location
386777,386921,1,2000761,2000762,2000003,org.intermine.model.bio.Location
387059,387125,1,2000763,2000764,2000003,org.intermine.model.bio.Location
387243,387322,1,2000765,2000766,2000003,org.intermine.model.bio.Location
387365,387400,1,2000767,2000768,2000003,org.intermine.model.bio.Location
387485,387547,1,2000769,2000770,2000003,org.intermine.model.bio.Location
387712,387760,1,2000771,2000772,2000003,org.intermine.model.bio.Location
387845,387876,1,2000773,2000774,2000003,org.intermine.model.bio.Location
388025,388196,1,2000775,2000776,2000003,org.intermine.model.bio.Location
388368,388453,1,2000777,2000778,2000003,org.intermine.model.bio.Location
388589,388616,1,2000779,2000780,2000003,org.intermine.model.bio.Location
388750,388885,1,2000781,2000782,2000003,org.intermine.model.bio.Location
389028,389094,1,2000783,2000784,2000003,org.intermine.model.bio.Location
390415,393219,-1,2000785,2000786,2000003,org.intermine.model.bio.Location
390415,393219,1,2000788,2000789,2000003,org.intermine.model.bio.Location
390415,393219,-1,2000790,2000791,2000003,org.intermine.model.bio.Location
397745,404760,1,2000792,2000793,2000003,org.intermine.model.bio.Location
397745,404760,1,2000795,2000796,2000003,org.intermine.model.bio.Location
397745,404509,1,2000797,2000798,2000003,org.intermine.model.bio.Location
404668,404760,1,2000799,2000800,2000003,org.intermine.model.bio.Location
477552,478427,1,2000801,2000802,2000003,org.intermine.model.bio.Location
477552,478427,1,2000804,2000805,2000003,org.intermine.model.bio.Location
477552,478427,1,2000806,2000807,2000003,org.intermine.model.bio.Location
489041,491276,-1,2000808,2000809,2000003,org.intermine.model.bio.Location
489041,491276,1,2000811,2000812,2000003,org.intermine.model.bio.Location
489041,490987,-1,2000813,2000814,2000003,org.intermine.model.bio.Location
491202,491276,-1,2000815,2000816,2000003,org.intermine.model.bio.Location
579424,585509,1,2000817,2000818,2000003,org.intermine.model.bio.Location
579424,585509,1,2000820,2000821,2000003,org.intermine.model.bio.Location
579424,580216,1,2000822,2000823,2000003,org.intermine.model.bio.Location
580377,580642,1,2000824,2000825,2000003,org.intermine.model.bio.Location
580791,585509,1,2000826,2000827,2000003,org.intermine.model.bio.Location
600185,601192,1,2000828,2000829,2000003,org.intermine.model.bio.Location
600185,601192,1,2000831,2000832,2000003,org.intermine.model.bio.Location
600185,600253,1,2000833,2000834,2000003,org.intermine.model.bio.Location
600356,601192,1,2000835,2000836,2000003,org.intermine.model.bio.Location
216014,217747,1,2000837,2000838,2000003,org.intermine.model.bio.Location
216014,217747,1,2000840,2000841,2000003,org.intermine.model.bio.Location
216014,217747,1,2000842,2000843,2000003,org.intermine.model.bio.Location
75021,75599,1,2000844,2000845,2000003,org.intermine.model.bio.Location
75021,75599,1,2000847,2000848,2000003,org.intermine.model.bio.Location
75021,75599,1,2000849,2000850,2000003,org.intermine.model.bio.Location
76215,77042,-1,2000851,2000852,2000003,org.intermine.model.bio.Location
76215,77042,1,2000854,2000855,2000003,org.intermine.model.bio.Location
76215,77042,-1,2000856,2000857,2000003,org.intermine.model.bio.Location
95257,96046,1,2000858,2000859,2000003,org.intermine.model.bio.Location
95257,96046,1,2000861,2000862,2000003,org.intermine.model.bio.Location
95257,95283,1,2000863,2000864,2000003,org.intermine.model.bio.Location
95447,96046,1,2000865,2000866,2000003,org.intermine.model.bio.Location
134587,139491,-1,2000867,2000868,2000003,org.intermine.model.bio.Location
134587,139491,1,2000870,2000871,2000003,org.intermine.model.bio.Location
134587,139491,-1,2000872,2000873,2000003,org.intermine.model.bio.Location
226919,227523,-1,2000874,2000875,2000003,org.intermine.model.bio.Location
226919,227523,1,2000877,2000878,2000003,org.intermine.model.bio.Location
226919,227130,-1,2000879,2000880,2000003,org.intermine.model.bio.Location
227313,227523,-1,2000881,2000882,2000003,org.intermine.model.bio.Location
256014,258987,-1,2000883,2000884,2000003,org.intermine.model.bio.Location
256014,258987,1,2000886,2000887,2000003,org.intermine.model.bio.Location
256014,258757,-1,2000888,2000889,2000003,org.intermine.model.bio.Location
258828,258987,-1,2000890,2000891,2000003,org.intermine.model.bio.Location
279330,280229,1,2000892,2000893,2000003,org.intermine.model.bio.Location
279330,280229,1,2000895,2000896,2000003,org.intermine.model.bio.Location
279330,280229,1,2000897,2000898,2000003,org.intermine.model.bio.Location
295518,297149,-1,2000899,2000900,2000003,org.intermine.model.bio.Location
295518,297149,1,2000902,2000903,2000003,org.intermine.model.bio.Location
295518,297149,-1,2000904,2000905,2000003,org.intermine.model.bio.Location
323526,327226,1,2000906,2000907,2000003,org.intermine.model.bio.Location
323526,327226,1,2000909,2000910,2000003,org.intermine.model.bio.Location
