secondaryidentifier,symbol,primaryidentifier,length,id,name,scoretype,score,chromosomeid,geneid,chromosomelocationid,organismid,sequenceid,sequenceontologytermid,class
,,exon.65258,53,2048631,,,,2048348,2048614,2048630,1000026,5000102,2000012,org.intermine.model.bio.Exon
,,exon.65698,927,2048638,,,,2048348,2048633,2048637,1000026,5000104,2000012,org.intermine.model.bio.Exon
,,exon.65700,514,2048640,,,,2048348,2048633,2048639,1000026,5000105,2000012,org.intermine.model.bio.Exon
,,exon.65699,107,2048642,,,,2048348,2048633,2048641,1000026,5000106,2000012,org.intermine.model.bio.Exon
,,exon.65714,729,2048649,,,,2048348,2048644,2048648,1000026,5000108,2000012,org.intermine.model.bio.Exon
,,exon.66526,540,2048656,,,,2048348,2048651,2048655,1000026,5000110,2000012,org.intermine.model.bio.Exon
,,exon.65286,1632,2048663,,,,2048348,2048658,2048662,1000026,5000112,2000012,org.intermine.model.bio.Exon
,,exon.65303,27,2048670,,,,2048348,2048665,2048669,1000026,5000114,2000012,org.intermine.model.bio.Exon
,,exon.65305,94,2048672,,,,2048348,2048665,2048671,1000026,5000115,2000012,org.intermine.model.bio.Exon
,,exon.65297,22,2048674,,,,2048348,2048665,2048673,1000026,5000116,2000012,org.intermine.model.bio.Exon
,,exon.65306,77,2048676,,,,2048348,2048665,2048675,1000026,5000117,2000012,org.intermine.model.bio.Exon
,,exon.65302,50,2048678,,,,2048348,2048665,2048677,1000026,5000118,2000012,org.intermine.model.bio.Exon
,,exon.65301,70,2048680,,,,2048348,2048665,2048679,1000026,5000119,2000012,org.intermine.model.bio.Exon
,,exon.65300,49,2048682,,,,2048348,2048665,2048681,1000026,5000120,2000012,org.intermine.model.bio.Exon
,,exon.65307,97,2048684,,,,2048348,2048665,2048683,1000026,5000121,2000012,org.intermine.model.bio.Exon
,,exon.65298,29,2048686,,,,2048348,2048665,2048685,1000026,5000122,2000012,org.intermine.model.bio.Exon
,,exon.65299,57,2048688,,,,2048348,2048665,2048687,1000026,5000123,2000012,org.intermine.model.bio.Exon
,,exon.65304,60,2048690,,,,2048348,2048665,2048689,1000026,5000124,2000012,org.intermine.model.bio.Exon
,,exon.65308,52,2048692,,,,2048348,2048665,2048691,1000026,5000125,2000012,org.intermine.model.bio.Exon
,,exon.65744,319,2048699,,,,2048348,2048694,2048698,1000026,5000127,2000012,org.intermine.model.bio.Exon
,,exon.65746,117,2048701,,,,2048348,2048694,2048700,1000026,5000128,2000012,org.intermine.model.bio.Exon
,,exon.65745,74,2048703,,,,2048348,2048694,2048702,1000026,5000129,2000012,org.intermine.model.bio.Exon
,,exon.65747,54,2048705,,,,2048348,2048694,2048704,1000026,5000130,2000012,org.intermine.model.bio.Exon
,,exon.66138,1218,2048712,,,,2048348,2048707,2048711,1000026,5000132,2000012,org.intermine.model.bio.Exon
,,exon.66531,505,2048719,,,,2048348,2048714,2048718,1000026,5000134,2000012,org.intermine.model.bio.Exon
,,exon.66532,74,2048721,,,,2048348,2048714,2048720,1000026,5000135,2000012,org.intermine.model.bio.Exon
,,exon.66557,1299,2048728,,,,2048348,2048723,2048727,1000026,5000137,2000012,org.intermine.model.bio.Exon
,,exon.66561,105,2048735,,,,2048348,2048730,2048734,1000026,5000139,2000012,org.intermine.model.bio.Exon
,,exon.66560,1047,2048737,,,,2048348,2048730,2048736,1000026,5000140,2000012,org.intermine.model.bio.Exon
,,exon.65358,1302,2048744,,,,2048348,2048739,2048743,1000026,5000142,2000012,org.intermine.model.bio.Exon
,,exon.65806,1266,2048751,,,,2048348,2048746,2048750,1000026,5000144,2000012,org.intermine.model.bio.Exon
,,exon.66589,72,2048758,,,,2048348,2048753,2048757,1000026,5000146,2000012,org.intermine.model.bio.Exon
,,exon.66588,1008,2048760,,,,2048348,2048753,2048759,1000026,5000147,2000012,org.intermine.model.bio.Exon
,,exon.65368,615,2048767,,,,2048348,2048762,2048766,1000026,5000149,2000012,org.intermine.model.bio.Exon
,,exon.65369,726,2048769,,,,2048348,2048762,2048768,1000026,5000150,2000012,org.intermine.model.bio.Exon
,,exon.66233,1677,2048776,,,,2048348,2048771,2048775,1000026,5000152,2000012,org.intermine.model.bio.Exon
,,exon.65414,1346,2048783,,,,2048348,2048778,2048782,1000026,5000154,2000012,org.intermine.model.bio.Exon
,,exon.65415,595,2048785,,,,2048348,2048778,2048784,1000026,5000155,2000012,org.intermine.model.bio.Exon
,,exon.65436,172,2048792,,,,2048348,2048787,2048791,1000026,5000157,2000012,org.intermine.model.bio.Exon
,,exon.65437,89,2048794,,,,2048348,2048787,2048793,1000026,5000158,2000012,org.intermine.model.bio.Exon
,,exon.66266,309,2048801,,,,2048348,2048796,2048800,1000026,5000160,2000012,org.intermine.model.bio.Exon
,,exon.66264,62,2048803,,,,2048348,2048796,2048802,1000026,5000161,2000012,org.intermine.model.bio.Exon
,,exon.66267,1334,2048805,,,,2048348,2048796,2048804,1000026,5000162,2000012,org.intermine.model.bio.Exon
,,exon.66265,125,2048807,,,,2048348,2048796,2048806,1000026,5000163,2000012,org.intermine.model.bio.Exon
,,exon.65487,2130,2048814,,,,2048348,2048809,2048813,1000026,5000165,2000012,org.intermine.model.bio.Exon
,,exon.66318,244,2048821,,,,2048348,2048816,2048820,1000026,5000167,2000012,org.intermine.model.bio.Exon
,,exon.66320,87,2048823,,,,2048348,2048816,2048822,1000026,5000168,2000012,org.intermine.model.bio.Exon
,,exon.66319,1451,2048825,,,,2048348,2048816,2048824,1000026,5000169,2000012,org.intermine.model.bio.Exon
,,exon.66321,330,2048827,,,,2048348,2048816,2048826,1000026,5000170,2000012,org.intermine.model.bio.Exon
,,exon.65514,470,2048834,,,,2048348,2048829,2048833,1000026,5000172,2000012,org.intermine.model.bio.Exon
,,exon.65515,100,2048836,,,,2048348,2048829,2048835,1000026,5000173,2000012,org.intermine.model.bio.Exon
,,exon.64872,477,2048843,,,,2048348,2048838,2048842,1000026,5000175,2000012,org.intermine.model.bio.Exon
,,exon.64935,1281,2048850,,,,2048348,2048845,2048849,1000026,5000177,2000012,org.intermine.model.bio.Exon
,,exon.64975,402,2048857,,,,2048348,2048852,2048856,1000026,5000179,2000012,org.intermine.model.bio.Exon
,,exon.64976,168,2048859,,,,2048348,2048852,2048858,1000026,5000180,2000012,org.intermine.model.bio.Exon
,,exon.64993,123,2048866,,,,2048348,2048861,2048865,1000026,5000182,2000012,org.intermine.model.bio.Exon
,,exon.64994,231,2048868,,,,2048348,2048861,2048867,1000026,5000183,2000012,org.intermine.model.bio.Exon
,,exon.64992,5985,2048870,,,,2048348,2048861,2048869,1000026,5000184,2000012,org.intermine.model.bio.Exon
,,exon.64751,1050,2048877,,,,2048348,2048872,2048876,1000026,5000186,2000012,org.intermine.model.bio.Exon
,,exon.64752,54,2048879,,,,2048348,2048872,2048878,1000026,5000187,2000012,org.intermine.model.bio.Exon
,,exon.64756,1077,2048886,,,,2048348,2048881,2048885,1000026,5000189,2000012,org.intermine.model.bio.Exon
,,exon.64757,69,2048888,,,,2048348,2048881,2048887,1000026,5000190,2000012,org.intermine.model.bio.Exon
,,exon.65038,3477,2048895,,,,2048348,2048890,2048894,1000026,5000192,2000012,org.intermine.model.bio.Exon
,,exon.65036,69,2048897,,,,2048348,2048890,2048896,1000026,5000193,2000012,org.intermine.model.bio.Exon
,,exon.65037,48,2048899,,,,2048348,2048890,2048898,1000026,5000194,2000012,org.intermine.model.bio.Exon
,,exon.64784,54,2048906,,,,2048348,2048901,2048905,1000026,5000196,2000012,org.intermine.model.bio.Exon
,,exon.64785,1083,2048908,,,,2048348,2048901,2048907,1000026,5000197,2000012,org.intermine.model.bio.Exon
,,exon.65069,1236,2048915,,,,2048348,2048910,2048914,1000026,5000199,2000012,org.intermine.model.bio.Exon
,,exon.65085,4269,2048922,,,,2048348,2048917,2048921,1000026,5000201,2000012,org.intermine.model.bio.Exon
,,exon.64822,81,2048929,,,,2048348,2048924,2048928,1000026,5000203,2000012,org.intermine.model.bio.Exon
,,exon.64821,1284,2048931,,,,2048348,2048924,2048930,1000026,5000204,2000012,org.intermine.model.bio.Exon
,,exon.64820,201,2048933,,,,2048348,2048924,2048932,1000026,5000205,2000012,org.intermine.model.bio.Exon
,,exon.64839,1530,2048940,,,,2048348,2048935,2048939,1000026,5000207,2000012,org.intermine.model.bio.Exon
,,exon.64838,84,2048942,,,,2048348,2048935,2048941,1000026,5000208,2000012,org.intermine.model.bio.Exon
,,exon.65101,132,2048949,,,,2048348,2048944,2048948,1000026,5000210,2000012,org.intermine.model.bio.Exon
,,exon.65098,96,2048951,,,,2048348,2048944,2048950,1000026,5000211,2000012,org.intermine.model.bio.Exon
,,exon.65102,104,2048953,,,,2048348,2048944,2048952,1000026,5000212,2000012,org.intermine.model.bio.Exon
,,exon.65099,106,2048955,,,,2048348,2048944,2048954,1000026,5000213,2000012,org.intermine.model.bio.Exon
,,exon.65100,60,2048957,,,,2048348,2048944,2048956,1000026,5000214,2000012,org.intermine.model.bio.Exon
,,exon.65122,1104,2048964,,,,2048348,2048959,2048963,1000026,5000216,2000012,org.intermine.model.bio.Exon
,,exon.65571,1167,2048971,,,,2048348,2048966,2048970,1000026,5000218,2000012,org.intermine.model.bio.Exon
,,exon.65574,150,2048978,,,,2048348,2048973,2048977,1000026,5000220,2000012,org.intermine.model.bio.Exon
,,exon.65580,5481,2048985,,,,2048348,2048980,2048984,1000026,5000222,2000012,org.intermine.model.bio.Exon
,,exon.65952,214,2048992,,,,2048348,2048987,2048991,1000026,5000224,2000012,org.intermine.model.bio.Exon
,,exon.65951,3524,2048994,,,,2048348,2048987,2048993,1000026,5000225,2000012,org.intermine.model.bio.Exon
,,exon.66361,152,2049001,,,,2048348,2048996,2049000,1000026,5000227,2000012,org.intermine.model.bio.Exon
,,exon.66362,94,2049003,,,,2048348,2048996,2049002,1000026,5000228,2000012,org.intermine.model.bio.Exon
,,exon.66363,204,2049005,,,,2048348,2048996,2049004,1000026,5000229,2000012,org.intermine.model.bio.Exon
,,exon.66366,671,2049007,,,,2048348,2048996,2049006,1000026,5000230,2000012,org.intermine.model.bio.Exon
,,exon.66365,206,2049009,,,,2048348,2048996,2049008,1000026,5000231,2000012,org.intermine.model.bio.Exon
,,exon.66364,212,2049011,,,,2048348,2048996,2049010,1000026,5000232,2000012,org.intermine.model.bio.Exon
,,exon.66375,3711,2049018,,,,2048348,2049013,2049017,1000026,5000234,2000012,org.intermine.model.bio.Exon
,,exon.66387,2286,2049025,,,,2048348,2049020,2049024,1000026,5000236,2000012,org.intermine.model.bio.Exon
,,exon.65607,1077,2049032,,,,2048348,2049027,2049031,1000026,5000238,2000012,org.intermine.model.bio.Exon
,,exon.65618,1191,2049039,,,,2048348,2049034,2049038,1000026,5000240,2000012,org.intermine.model.bio.Exon
,,exon.65996,1010,2049046,,,,2048348,2049041,2049045,1000026,5000242,2000012,org.intermine.model.bio.Exon
,,exon.65997,97,2049048,,,,2048348,2049041,2049047,1000026,5000243,2000012,org.intermine.model.bio.Exon
,,exon.65995,135,2049050,,,,2048348,2049041,2049049,1000026,5000244,2000012,org.intermine.model.bio.Exon
,,exon.66417,186,2049057,,,,2048348,2049052,2049056,1000026,5000246,2000012,org.intermine.model.bio.Exon
,,exon.66418,303,2049059,,,,2048348,2049052,2049058,1000026,5000247,2000012,org.intermine.model.bio.Exon
,,exon.66437,438,2049066,,,,2048348,2049061,2049065,1000026,5000249,2000012,org.intermine.model.bio.Exon
,,exon.65190,259,2049073,,,,2048348,2049068,2049072,1000026,5000251,2000012,org.intermine.model.bio.Exon
,,exon.65184,101,2049075,,,,2048348,2049068,2049074,1000026,5000252,2000012,org.intermine.model.bio.Exon
,,exon.65189,88,2049077,,,,2048348,2049068,2049076,1000026,5000253,2000012,org.intermine.model.bio.Exon
,,exon.65187,59,2049079,,,,2048348,2049068,2049078,1000026,5000254,2000012,org.intermine.model.bio.Exon
,,exon.65186,88,2049081,,,,2048348,2049068,2049080,1000026,5000255,2000012,org.intermine.model.bio.Exon
,,exon.65188,195,2049083,,,,2048348,2049068,2049082,1000026,5000256,2000012,org.intermine.model.bio.Exon
,,exon.65191,92,2049085,,,,2048348,2049068,2049084,1000026,5000257,2000012,org.intermine.model.bio.Exon
,,exon.65185,33,2049087,,,,2048348,2049068,2049086,1000026,5000258,2000012,org.intermine.model.bio.Exon
,,exon.65200,2828,2049094,,,,2048348,2049089,2049093,1000026,5000260,2000012,org.intermine.model.bio.Exon
,,exon.65199,160,2049096,,,,2048348,2049089,2049095,1000026,5000261,2000012,org.intermine.model.bio.Exon
,,exon.65667,1734,2049103,,,,2048348,2049098,2049102,1000026,5000263,2000012,org.intermine.model.bio.Exon
,,exon.66455,96,2049110,,,,2048348,2049105,2049109,1000026,5000265,2000012,org.intermine.model.bio.Exon
,,exon.66457,51,2049112,,,,2048348,2049105,2049111,1000026,5000266,2000012,org.intermine.model.bio.Exon
,,exon.66456,1449,2049114,,,,2048348,2049105,2049113,1000026,5000267,2000012,org.intermine.model.bio.Exon
,,exon.66474,3444,2049121,,,,2048348,2049116,2049120,1000026,5000269,2000012,org.intermine.model.bio.Exon
,,exon.66477,61,2049128,,,,2048348,2049123,2049127,1000026,5000271,2000012,org.intermine.model.bio.Exon
,,exon.66480,70,2049130,,,,2048348,2049123,2049129,1000026,5000272,2000012,org.intermine.model.bio.Exon
,,exon.66479,119,2049132,,,,2048348,2049123,2049131,1000026,5000273,2000012,org.intermine.model.bio.Exon
,,exon.66478,116,2049134,,,,2048348,2049123,2049133,1000026,5000274,2000012,org.intermine.model.bio.Exon
,,exon.65251,3345,2049141,,,,2048348,2049136,2049140,1000026,5000276,2000012,org.intermine.model.bio.Exon
,,exon.65695,115,2049148,,,,2048348,2049143,2049147,1000026,5000278,2000012,org.intermine.model.bio.Exon
,,exon.65694,146,2049150,,,,2048348,2049143,2049149,1000026,5000279,2000012,org.intermine.model.bio.Exon
,,exon.65693,363,2049152,,,,2048348,2049143,2049151,1000026,5000280,2000012,org.intermine.model.bio.Exon
,,exon.65705,1431,2049159,,,,2048348,2049154,2049158,1000026,5000282,2000012,org.intermine.model.bio.Exon
,,exon.65725,474,2049166,,,,2048348,2049161,2049165,1000026,5000284,2000012,org.intermine.model.bio.Exon
,,exon.65724,1365,2049168,,,,2048348,2049161,2049167,1000026,5000285,2000012,org.intermine.model.bio.Exon
,,exon.65741,2952,2049175,,,,2048348,2049170,2049174,1000026,5000287,2000012,org.intermine.model.bio.Exon
,,exon.66135,78,2049182,,,,2048348,2049177,2049181,1000026,5000289,2000012,org.intermine.model.bio.Exon
,,exon.66134,104,2049184,,,,2048348,2049177,2049183,1000026,5000290,2000012,org.intermine.model.bio.Exon
,,exon.66132,74,2049186,,,,2048348,2049177,2049185,1000026,5000291,2000012,org.intermine.model.bio.Exon
,,exon.66133,56,2049188,,,,2048348,2049177,2049187,1000026,5000292,2000012,org.intermine.model.bio.Exon
,,exon.65361,1362,2049195,,,,2048348,2049190,2049194,1000026,5000294,2000012,org.intermine.model.bio.Exon
,,exon.65811,4384,2049202,,,,2048348,2049197,2049201,1000026,5000296,2000012,org.intermine.model.bio.Exon
,,exon.65810,569,2049204,,,,2048348,2049197,2049203,1000026,5000297,2000012,org.intermine.model.bio.Exon
,,exon.66179,143,2049211,,,,2048348,2049206,2049210,1000026,5000299,2000012,org.intermine.model.bio.Exon
,,exon.66178,1051,2049213,,,,2048348,2049206,2049212,1000026,5000300,2000012,org.intermine.model.bio.Exon
,,exon.66195,121,2049220,,,,2048348,2049215,2049219,1000026,5000302,2000012,org.intermine.model.bio.Exon
,,exon.66190,127,2049222,,,,2048348,2049215,2049221,1000026,5000303,2000012,org.intermine.model.bio.Exon
,,exon.66192,94,2049224,,,,2048348,2049215,2049223,1000026,5000304,2000012,org.intermine.model.bio.Exon
,,exon.66194,277,2049226,,,,2048348,2049215,2049225,1000026,5000305,2000012,org.intermine.model.bio.Exon
,,exon.66191,125,2049228,,,,2048348,2049215,2049227,1000026,5000306,2000012,org.intermine.model.bio.Exon
,,exon.66193,126,2049230,,,,2048348,2049215,2049229,1000026,5000307,2000012,org.intermine.model.bio.Exon
,,exon.66600,2712,2049237,,,,2048348,2049232,2049236,1000026,5000309,2000012,org.intermine.model.bio.Exon
,,exon.66599,1236,2049239,,,,2048348,2049232,2049238,1000026,5000310,2000012,org.intermine.model.bio.Exon
,,exon.65365,318,2049246,,,,2048348,2049241,2049245,1000026,5000312,2000012,org.intermine.model.bio.Exon
,,exon.65406,2256,2049253,,,,2048348,2049248,2049252,1000026,5000314,2000012,org.intermine.model.bio.Exon
,,exon.65405,114,2049255,,,,2048348,2049248,2049254,1000026,5000315,2000012,org.intermine.model.bio.Exon
,,exon.65826,747,2049262,,,,2048348,2049257,2049261,1000026,5000317,2000012,org.intermine.model.bio.Exon
,,exon.65845,1209,2049269,,,,2048348,2049264,2049268,1000026,5000319,2000012,org.intermine.model.bio.Exon
,,exon.65861,2678,2049276,,,,2048348,2049271,2049275,1000026,5000321,2000012,org.intermine.model.bio.Exon
,,exon.65860,112,2049278,,,,2048348,2049271,2049277,1000026,5000322,2000012,org.intermine.model.bio.Exon
,,exon.65859,101,2049280,,,,2048348,2049271,2049279,1000026,5000323,2000012,org.intermine.model.bio.Exon
,,exon.65858,49,2049282,,,,2048348,2049271,2049281,1000026,5000324,2000012,org.intermine.model.bio.Exon
,,exon.65429,3696,2049289,,,,2048348,2049284,2049288,1000026,5000326,2000012,org.intermine.model.bio.Exon
,,exon.65896,1008,2049296,,,,2048348,2049291,2049295,1000026,5000328,2000012,org.intermine.model.bio.Exon
,,exon.65473,2907,2049303,,,,2048348,2049298,2049302,1000026,5000330,2000012,org.intermine.model.bio.Exon
,,exon.65472,2280,2049305,,,,2048348,2049298,2049304,1000026,5000331,2000012,org.intermine.model.bio.Exon
,,exon.66314,99,2049312,,,,2048348,2049307,2049311,1000026,5000333,2000012,org.intermine.model.bio.Exon
,,exon.66315,657,2049314,,,,2048348,2049307,2049313,1000026,5000334,2000012,org.intermine.model.bio.Exon
,,exon.66324,849,2049321,,,,2048348,2049316,2049320,1000026,5000336,2000012,org.intermine.model.bio.Exon
,,exon.66327,57,2049328,,,,2048348,2049323,2049327,1000026,5000338,2000012,org.intermine.model.bio.Exon
,,exon.66328,94,2049330,,,,2048348,2049323,2049329,1000026,5000339,2000012,org.intermine.model.bio.Exon
,,exon.66329,310,2049332,,,,2048348,2049323,2049331,1000026,5000340,2000012,org.intermine.model.bio.Exon
,,exon.66330,142,2049334,,,,2048348,2049323,2049333,1000026,5000341,2000012,org.intermine.model.bio.Exon
,,exon.65508,1995,2049341,,,,2048348,2049336,2049340,1000026,5000343,2000012,org.intermine.model.bio.Exon
,,exon.64867,309,2049348,,,,2048348,2049343,2049347,1000026,5000345,2000012,org.intermine.model.bio.Exon
,,exon.65001,18357,2049355,,,,2048348,2049350,2049354,1000026,5000347,2000012,org.intermine.model.bio.Exon
,,exon.64745,948,2049362,,,,2048348,2049357,2049361,1000026,5000349,2000012,org.intermine.model.bio.Exon
,,exon.64746,69,2049364,,,,2048348,2049357,2049363,1000026,5000350,2000012,org.intermine.model.bio.Exon
,,exon.65014,720,2049371,,,,2048348,2049366,2049370,1000026,5000352,2000012,org.intermine.model.bio.Exon
,,exon.64809,218,2049378,,,,2048348,2049373,2049377,1000026,5000354,2000012,org.intermine.model.bio.Exon
,,exon.64810,1009,2049380,,,,2048348,2049373,2049379,1000026,5000355,2000012,org.intermine.model.bio.Exon
