secondaryidentifier,uniprotaccession,uniprotname,length,ecnumber,primaryaccession,molecularweight,md5checksum,symbol,primaryidentifier,id,name,isfragment,isuniprotcanonical,organismid,canonicalproteinid,sequenceid,class
Q8I5Z2,Q8I5Z2,Q8I5Z2_PLAF7,289,,Q8I5Z2,35196,2fe61c568c749431215379635f2b2fc8,,Q8I5Z2_PLAF7,1001064,Putative uncharacterized protein,f,t,1000026,,1001061,org.intermine.model.bio.Protein
Q8IB99,Q8IB99,Q8IB99_PLAF7,276,,Q8IB99,32598,734a0482db008ed35228d1c549a93095,,Q8IB99_PLAF7,1001068,Putative uncharacterized protein MAL8P1.21,f,t,1000026,,1001066,org.intermine.model.bio.Protein
Q8IC25,Q8IC25,Q8IC25_PLAF7,1587,,Q8IC25,191017,188df0e0eb79fd45b392fccb4df8d2c8,,Q8IC25_PLAF7,1001072,Putative uncharacterized protein MAL7P1.18,f,t,1000026,,1001070,org.intermine.model.bio.Protein
Q8IDJ5,Q8IDJ5,Q8IDJ5_PLAF7,709,,Q8IDJ5,85323,9e7ff290af3ff683a9a58be6de62375d,,Q8IDJ5_PLAF7,1001076,Putative uncharacterized protein PF13_0264,f,t,1000026,,1001074,org.intermine.model.bio.Protein
Q8IE78,Q8IE78,Q8IE78_PLAF7,376,,Q8IE78,44657,af424a707d20dace8235339a30f57ce3,,Q8IE78_PLAF7,1001080,Putative uncharacterized protein PF13_0136,f,t,1000026,,1001078,org.intermine.model.bio.Protein
Q8IID0,Q8IID0,Q8IID0_PLAF7,689,,Q8IID0,79734,bdcc147347b3ba0e768b7de6a8e371d0,,Q8IID0_PLAF7,1001091,Putative uncharacterized protein,f,t,1000026,,1001083,org.intermine.model.bio.Protein
Q8IJ26,Q8IJ26,Q8IJ26_PLAF7,374,,Q8IJ26,44920,143d10b1a4e558ac99608622475153ed,,Q8IJ26_PLAF7,1001096,Putative uncharacterized protein,f,t,1000026,,1001093,org.intermine.model.bio.Protein
Q8IJQ5,Q8IJQ5,Q8IJQ5_PLAF7,329,,Q8IJQ5,38118,e59f46232922e9fa8e422fc426851049,,Q8IJQ5_PLAF7,1001110,"GDP-fucose synthase, putative",f,t,1000026,,1001098,org.intermine.model.bio.Protein
Q8IKM7,Q8IKM7,Q8IKM7_PLAF7,1632,,Q8IKM7,192010,facc296d977f599c08569670a20dcb08,,Q8IKM7_PLAF7,1001115,Putative uncharacterized protein,f,t,1000026,,1001112,org.intermine.model.bio.Protein
Q8IL93,Q8IL93,Q8IL93_PLAF7,212,,Q8IL93,25487,e6dd7e7376710cbf74cfe6c096ca760d,,Q8IL93_PLAF7,1001120,Putative uncharacterized protein,f,t,1000026,,1001117,org.intermine.model.bio.Protein
Q8IM21,Q8IM21,Q8IM21_PLAF7,690,,Q8IM21,81763,c7725327ff52d059d0eaba84befb8a19,,Q8IM21_PLAF7,1001125,Putative uncharacterized protein,f,t,1000026,,1001122,org.intermine.model.bio.Protein
Q9NFA3,Q9NFA3,Q9NFA3_PLAF7,177,,Q9NFA3,21334,405367f2fa7d5b8680705d2927633524,,Q9NFA3_PLAF7,1001129,Putative uncharacterized protein PFC0582c,f,t,1000026,,1001127,org.intermine.model.bio.Protein
O97267,O97267,O97267_PLAF7,2114,,O97267,237921,f3c14f01bb7bea804c9eb44d8366d468,,O97267_PLAF7,1001133,CTRP (Ctrp protein),f,t,1000026,,1001131,org.intermine.model.bio.Protein
Q6LFA8,Q6LFA8,Q6LFA8_PLAF7,591,,Q6LFA8,69875,9055d9f3b80cb82a565c3110635e1cfb,,Q6LFA8_PLAF7,1001138,Putative uncharacterized protein,f,t,1000026,,1001135,org.intermine.model.bio.Protein
Q7KQK4,Q7KQK4,Q7KQK4_PLAF7,1461,,Q7KQK4,170853,8a97233726a9669fd8d45c927a8fd58b,,Q7KQK4_PLAF7,1001148,Zinc finger transcription factor (Krox1),f,t,1000026,,1001140,org.intermine.model.bio.Protein
Q8I2H6,Q8I2H6,Q8I2H6_PLAF7,145,,Q8I2H6,17403,341a6497c293a5e50da0b0f7b9a1b7b8,,Q8I2H6_PLAF7,1001153,Putative uncharacterized protein PFI1655c,f,t,1000026,,1001151,org.intermine.model.bio.Protein
Q8I345,Q8I345,Q8I345_PLAF7,543,,Q8I345,64567,db3a1d877039b1b9a4a8abe14730bfb5,,Q8I345_PLAF7,1001157,"Actin-like protein, putative",f,t,1000026,,1001155,org.intermine.model.bio.Protein
Q8I3R5,Q8I3R5,Q8I3R5_PLAF7,2488,,Q8I3R5,289412,42552ce9a6b077c2e2906700be02b735,,Q8I3R5_PLAF7,1001161,Putative uncharacterized protein PFE0980c,f,t,1000026,,1001159,org.intermine.model.bio.Protein
Q8I578,Q8I578,Q8I578_PLAF7,628,,Q8I578,74018,d1fa9b68121cc21cae11d69a8d9deb1d,,Q8I578_PLAF7,1001172,Putative uncharacterized protein,f,t,1000026,,1001163,org.intermine.model.bio.Protein
Q8I5U9,Q8I5U9,Q8I5U9_PLAF7,339,,Q8I5U9,40052,133b31c110263c89f4ea0ae2c602dc52,,Q8I5U9_PLAF7,1001186,"50S ribosomal protein L1, putative",f,t,1000026,,1001174,org.intermine.model.bio.Protein
Q8IAZ0,Q8IAZ0,Q8IAZ0_PLAF7,1182,,Q8IAZ0,140226,baece5169e95a7cee078bed884310c33,,Q8IAZ0_PLAF7,1001190,Putative uncharacterized protein PF08_0068,f,t,1000026,,1001188,org.intermine.model.bio.Protein
Q8IBU9,Q8IBU9,Q8IBU9_PLAF7,108,,Q8IBU9,12792,5424f1970758a36991ab04faf48bd4e2,,Q8IBU9_PLAF7,1001194,Putative uncharacterized protein PF07_0060,f,t,1000026,,1001192,org.intermine.model.bio.Protein
Q8IDF1,Q8IDF1,Q8IDF1_PLAF7,98,,Q8IDF1,12567,68eb3eca99106088dd14854770a34e20,,Q8IDF1_PLAF7,1001198,Putative uncharacterized protein MAL13P1.273,f,t,1000026,,1001196,org.intermine.model.bio.Protein
Q8IE44,Q8IE44,Q8IE44_PLAF7,500,,Q8IE44,60289,2684557957676dd0d05e26c3f7239b20,,Q8IE44_PLAF7,1001202,Putative uncharacterized protein MAL13P1.150,f,t,1000026,,1001200,org.intermine.model.bio.Protein
Q8IEQ6,Q8IEQ6,Q8IEQ6_PLAF7,475,,Q8IEQ6,57924,33645e9de40e13e0030ba6ac1f0b5652,,Q8IEQ6_PLAF7,1001206,Putative uncharacterized protein PF13_0031,f,t,1000026,,1001204,org.intermine.model.bio.Protein
Q8IHW7,Q8IHW7,Q8IHW7_PLAF7,198,,Q8IHW7,23233,c80306ce7e857faea930b96a4d5b9c49,,Q8IHW7_PLAF7,1001211,Putative uncharacterized protein,f,t,1000026,,1001208,org.intermine.model.bio.Protein
Q8III2,Q8III2,Q8III2_PLAF7,608,,Q8III2,71134,f22f7ce0ec5fd81ba892f2cae36d7bec,,Q8III2_PLAF7,1001232,Putative uncharacterized protein,f,t,1000026,,1001213,org.intermine.model.bio.Protein
Q8IJH0,Q8IJH0,Q8IJH0_PLAF7,310,,Q8IJH0,37509,9b5bce9efb98fa738eb33361f0739167,,Q8IJH0_PLAF7,1001237,Putative uncharacterized protein,f,t,1000026,,1001234,org.intermine.model.bio.Protein
Q8IK63,Q8IK63,Q8IK63_PLAF7,196,,Q8IK63,23209,f7efb6f6406fe0bb23d658ab81f5d670,,Q8IK63_PLAF7,1001242,Putative uncharacterized protein,f,t,1000026,,1001239,org.intermine.model.bio.Protein
Q8IKU4,Q8IKU4,Q8IKU4_PLAF7,1923,,Q8IKU4,233301,a49d358c1351ebd2763a7ead07718703,,Q8IKU4_PLAF7,1001247,Putative uncharacterized protein,f,t,1000026,,1001244,org.intermine.model.bio.Protein
Q8ILM7,Q8ILM7,Q8ILM7_PLAF7,641,,Q8ILM7,75241,4be8bc5c36aca7dcccb9ac654c3385e1,,Q8ILM7_PLAF7,1001255,Putative uncharacterized protein,f,t,1000026,,1001249,org.intermine.model.bio.Protein
O77306,O77306,O77306_PLAF7,1338,,O77306,157372,ffe7b9eefdf98fbe1289a5abaa532fec,,O77306_PLAF7,1001260,"Serine/threonine protein kinase, putative",f,t,1000026,,1001258,org.intermine.model.bio.Protein
O96136,O96136,O96136_PLAF7,242,,O96136,28288,fff19858b60f6fc997d327cf25516d26,,O96136_PLAF7,1001266,"ERCC1 nucleotide excision repair protein, putative",f,t,1000026,,1001264,org.intermine.model.bio.Protein
Q6LFL7,Q6LFL7,Q6LFL7_PLAF7,95,,Q6LFL7,11017,eeb0a0cffa4edd56b7a334c3af0594e4,,Q6LFL7_PLAF7,1001271,Putative uncharacterized protein,f,t,1000026,,1001268,org.intermine.model.bio.Protein
Q8I212,Q8I212,Q8I212_PLAF7,367,,Q8I212,41001,98adb9072764c9ce63caba3d44dbcbdd,,Q8I212_PLAF7,1001275,RIFIN,f,t,1000026,,1001273,org.intermine.model.bio.Protein
Q8I2M3,Q8I2M3,Q8I2M3_PLAF7,113,,Q8I2M3,13255,0f03f156a422772171e0470844bd95ab,,Q8I2M3_PLAF7,1001280,Putative uncharacterized protein PFI1405c,f,t,1000026,,1001278,org.intermine.model.bio.Protein
Q8I3H5,Q8I3H5,Q8I3H5_PLAF7,548,,Q8I3H5,63769,acf0b304469128873af0aeb197d4497d,,Q8I3H5_PLAF7,1001285,"Sugar transporter, putative",f,t,1000026,,1001283,org.intermine.model.bio.Protein
Q8I466,Q8I466,Q8I466_PLAF7,850,,Q8I466,100343,712d47ffa3cbf7a40f1e4db32e4c824f,,Q8I466_PLAF7,1001289,"Protein kinase, putative",f,t,1000026,,1001287,org.intermine.model.bio.Protein
Q8I517,Q8I517,Q8I517_PLAF7,2309,,Q8I517,276531,dd95ea4baa2fade824d86f52385ab50a,,Q8I517_PLAF7,1001294,Putative uncharacterized protein,f,t,1000026,,1001291,org.intermine.model.bio.Protein
Q8I5L7,Q8I5L7,Q8I5L7_PLAF7,2974,,Q8I5L7,349765,0532c1393dfed720a01353804772114d,,Q8I5L7_PLAF7,1001306,"Formin 2, putative",f,t,1000026,,1001297,org.intermine.model.bio.Protein
Q8IAR1,Q8IAR1,Q8IAR1_PLAF7,1321,,Q8IAR1,157197,b3bee5f2474ed573914a0dcc4ff1f127,,Q8IAR1_PLAF7,1001311,Putative uncharacterized protein PF08_0111,f,t,1000026,,1001309,org.intermine.model.bio.Protein
Q8IBH0,Q8IBH0,Q8IBH0_PLAF7,466,,Q8IBH0,55748,558cc58883dd73e8f9b23cbe877a7952,,Q8IBH0_PLAF7,1001315,Putative uncharacterized protein MAL7P1.157,f,t,1000026,,1001313,org.intermine.model.bio.Protein
Q8ID23,Q8ID23,Q8ID23_PLAF7,576,,Q8ID23,67860,ad6b663820017bf5c9f52012625ebc61,,Q8ID23_PLAF7,1001320,"Mitochondrial carrier protein, putative",f,t,1000026,,1001318,org.intermine.model.bio.Protein
Q8IDK5,Q8IDK5,Q8IDK5_PLAF7,232,,Q8IDK5,27042,37d2cf317cfae872f02f7b8999810373,,Q8IDK5_PLAF7,1001324,"Cytidine and deoxycytidylate deaminase family, putative",f,t,1000026,,1001322,org.intermine.model.bio.Protein
Q8IEH5,Q8IEH5,Q8IEH5_PLAF7,3377,,Q8IEH5,404745,a9a66417d30ac1871284e8c6531f6955,,Q8IEH5_PLAF7,1001328,Putative uncharacterized protein MAL13P1.70,f,t,1000026,,1001326,org.intermine.model.bio.Protein
Q8IIE0,Q8IIE0,Q8IIE0_PLAF7,679,,Q8IIE0,80472,14720102f8448c56e483e010fdc4d928,,Q8IIE0_PLAF7,1001333,Putative uncharacterized protein,f,t,1000026,,1001330,org.intermine.model.bio.Protein
Q8IJ01,Q8IJ01,Q8IJ01_PLAF7,295,,Q8IJ01,32778,7944d2ae4502750ede52ee7aeb9fc697,,Q8IJ01_PLAF7,1001338,Rifin,f,t,1000026,,1001335,org.intermine.model.bio.Protein
Q8IJR3,Q8IJR3,Q8IJR3_PLAF7,1064,,Q8IJR3,123740,e0ba7dd6c74bd9bfcadbfd71c468c521,,Q8IJR3_PLAF7,1001343,Putative uncharacterized protein,f,t,1000026,,1001340,org.intermine.model.bio.Protein
Q8IKC8,Q8IKC8,Q8IKC8_PLAF7,287,,Q8IKC8,33412,1a192b9286faf37b9787f738e984503e,,Q8IKC8_PLAF7,1001348,Exported protein 2,f,t,1000026,,1001345,org.intermine.model.bio.Protein
Q8IKZ2,Q8IKZ2,Q8IKZ2_PLAF7,76,,Q8IKZ2,9158,2ab18c97734dbef66f5d8a0426756251,,Q8IKZ2_PLAF7,1001353,Putative uncharacterized protein,f,t,1000026,,1001350,org.intermine.model.bio.Protein
Q8ILL8,Q8ILL8,Q8ILL8_PLAF7,1465,,Q8ILL8,178137,f5608a4278e073bb69e7a0687dec3411,,Q8ILL8_PLAF7,1001358,Putative uncharacterized protein,f,t,1000026,,1001355,org.intermine.model.bio.Protein
O96117,O96117,O96117_PLAF7,361,,O96117,40533,65e9ca89145c52a32a9a7d58f57b32ec,,O96117_PLAF7,1001362,Rifin,f,t,1000026,,1001360,org.intermine.model.bio.Protein
O96295,O96295,O96295_PLAF7,327,,O96295,36428,d0796c2a19ca28c07754368cea7a6f5c,,O96295_PLAF7,1001366,Rifin,f,t,1000026,,1001364,org.intermine.model.bio.Protein
O97247,O97247,O97247_PLAF7,532,,O97247,59068,6c58ca427e0a4eace35a3be11a1452ea,,O97247_PLAF7,1001371,"T-complex protein beta subunit, putative",f,t,1000026,,1001369,org.intermine.model.bio.Protein
