identifier,id,subjectid,sourceid,class
XP_001350124.1,1001822,1001821,1000080,org.intermine.model.bio.CrossReference
XP_001349808.1,1001826,1001825,1000080,org.intermine.model.bio.CrossReference
XP_001347900.1,1001831,1001830,1000080,org.intermine.model.bio.CrossReference
XP_001347674.1,1001836,1001835,1000080,org.intermine.model.bio.CrossReference
XP_001347373.1,1001841,1001840,1000080,org.intermine.model.bio.CrossReference
XP_001348838.1,1001856,1001855,1000080,org.intermine.model.bio.CrossReference
XP_001348605.1,1001869,1001868,1000080,org.intermine.model.bio.CrossReference
XP_001348365.1,1001892,1001891,1000080,org.intermine.model.bio.CrossReference
XP_001351106.1,1001897,1001895,1000080,org.intermine.model.bio.CrossReference
XP_001349572.1,1001901,1001900,1000080,org.intermine.model.bio.CrossReference
XP_001351274.1,1001906,1001904,1000080,org.intermine.model.bio.CrossReference
XP_966157.1,1001922,1001921,1000080,org.intermine.model.bio.CrossReference
XP_001351074.1,1001926,1001925,1000080,org.intermine.model.bio.CrossReference
XP_001351986.1,1001930,1001929,1000080,org.intermine.model.bio.CrossReference
XP_001351758.1,1001936,1001935,1000080,org.intermine.model.bio.CrossReference
XP_001350788.1,1001941,1001940,1000080,org.intermine.model.bio.CrossReference
XP_001350614.1,1001947,1001946,1000080,org.intermine.model.bio.CrossReference
XP_001350443.1,1001952,1001951,1000080,org.intermine.model.bio.CrossReference
XP_001349443.1,1001956,1001955,1000080,org.intermine.model.bio.CrossReference
XP_001349188.1,1001960,1001959,1000080,org.intermine.model.bio.CrossReference
XP_001350385.1,1001964,1001963,1000080,org.intermine.model.bio.CrossReference
XP_001350158.1,1001969,1001968,1000080,org.intermine.model.bio.CrossReference
XP_001349887.1,1001974,1001973,1000080,org.intermine.model.bio.CrossReference
XP_001351542.1,1001978,1001977,1000080,org.intermine.model.bio.CrossReference
XP_001347952.1,1001989,1001988,1000080,org.intermine.model.bio.CrossReference
XP_001347762.1,1002012,1002011,1000080,org.intermine.model.bio.CrossReference
XP_001347568.1,1002017,1002016,1000080,org.intermine.model.bio.CrossReference
XP_001347320.1,1002025,1002024,1000080,org.intermine.model.bio.CrossReference
XP_001348776.1,1002039,1002038,1000080,org.intermine.model.bio.CrossReference
XP_001348528.1,1002052,1002051,1000080,org.intermine.model.bio.CrossReference
XP_001348190.1,1002057,1002056,1000080,org.intermine.model.bio.CrossReference
XP_001350282.1,1002064,1002062,1000080,org.intermine.model.bio.CrossReference
XP_001350281.1,1002065,1002062,1000080,org.intermine.model.bio.CrossReference
XP_001349594.1,1002069,1002068,1000080,org.intermine.model.bio.CrossReference
XP_966222.1,1002083,1002082,1000080,org.intermine.model.bio.CrossReference
XP_001351025.1,1002088,1002086,1000080,org.intermine.model.bio.CrossReference
XP_001352036.1,1002092,1002091,1000080,org.intermine.model.bio.CrossReference
XP_001351776.1,1002096,1002095,1000080,org.intermine.model.bio.CrossReference
XP_001350776.1,1002101,1002100,1000080,org.intermine.model.bio.CrossReference
XP_001350463.1,1002106,1002105,1000080,org.intermine.model.bio.CrossReference
XP_001349267.1,1002110,1002109,1000080,org.intermine.model.bio.CrossReference
XP_001348984.1,1002114,1002113,1000080,org.intermine.model.bio.CrossReference
XP_001350220.1,1002118,1002117,1000080,org.intermine.model.bio.CrossReference
XP_001350012.1,1002122,1002121,1000080,org.intermine.model.bio.CrossReference
XP_001347923.1,1002127,1002126,1000080,org.intermine.model.bio.CrossReference
XP_001347663.1,1002132,1002131,1000080,org.intermine.model.bio.CrossReference
XP_001347447.1,1002137,1002136,1000080,org.intermine.model.bio.CrossReference
XP_001348768.1,1002142,1002141,1000080,org.intermine.model.bio.CrossReference
XP_001348536.1,1002147,1002146,1000080,org.intermine.model.bio.CrossReference
XP_001348244.1,1002152,1002151,1000080,org.intermine.model.bio.CrossReference
XP_001351299.1,1002156,1002155,1000080,org.intermine.model.bio.CrossReference
XP_001351220.1,1002164,1002162,1000080,org.intermine.model.bio.CrossReference
XP_966153.1,1002172,1002171,1000080,org.intermine.model.bio.CrossReference
XP_001350526.1,1002180,1002179,1000080,org.intermine.model.bio.CrossReference
XP_001350630.1,1002196,1002195,1000080,org.intermine.model.bio.CrossReference
XP_001351381.1,1002200,1002199,1000080,org.intermine.model.bio.CrossReference
XP_001352216.1,1002204,1002203,1000080,org.intermine.model.bio.CrossReference
XP_001351985.1,1002209,1002208,1000080,org.intermine.model.bio.CrossReference
XP_001351756.1,1002213,1002212,1000080,org.intermine.model.bio.CrossReference
XP_001350743.1,1002218,1002217,1000080,org.intermine.model.bio.CrossReference
XP_001350510.1,1002230,1002229,1000080,org.intermine.model.bio.CrossReference
XP_001349381.1,1002234,1002233,1000080,org.intermine.model.bio.CrossReference
XP_001349067.1,1002238,1002237,1000080,org.intermine.model.bio.CrossReference
XP_001350266.1,1002244,1002242,1000080,org.intermine.model.bio.CrossReference
XP_001350029.1,1002248,1002247,1000080,org.intermine.model.bio.CrossReference
XP_001349787.1,1002252,1002251,1000080,org.intermine.model.bio.CrossReference
XP_001348100.1,1002257,1002256,1000080,org.intermine.model.bio.CrossReference
XP_001347873.1,1002271,1002270,1000080,org.intermine.model.bio.CrossReference
XP_001347513.1,1002276,1002275,1000080,org.intermine.model.bio.CrossReference
XP_001348921.1,1002281,1002280,1000080,org.intermine.model.bio.CrossReference
XP_001348692.1,1002297,1002296,1000080,org.intermine.model.bio.CrossReference
XP_001348391.1,1002302,1002301,1000080,org.intermine.model.bio.CrossReference
XP_001349541.1,1002307,1002306,1000080,org.intermine.model.bio.CrossReference
XP_966050.1,1002312,1002311,1000080,org.intermine.model.bio.CrossReference
XP_001351328.1,1002317,1002315,1000080,org.intermine.model.bio.CrossReference
XP_001352171.1,1002321,1002320,1000080,org.intermine.model.bio.CrossReference
XP_001351858.1,1002325,1002324,1000080,org.intermine.model.bio.CrossReference
XP_001351598.1,1002330,1002329,1000080,org.intermine.model.bio.CrossReference
XP_001350807.1,1002337,1002336,1000080,org.intermine.model.bio.CrossReference
XP_001350602.1,1002342,1002341,1000080,org.intermine.model.bio.CrossReference
XP_001349461.1,1002346,1002345,1000080,org.intermine.model.bio.CrossReference
XP_001349189.1,1002350,1002349,1000080,org.intermine.model.bio.CrossReference
XP_001350398.1,1002354,1002353,1000080,org.intermine.model.bio.CrossReference
XP_001350208.1,1002358,1002357,1000080,org.intermine.model.bio.CrossReference
XP_001349885.1,1002363,1002362,1000080,org.intermine.model.bio.CrossReference
XP_001351515.1,1002368,1002366,1000080,org.intermine.model.bio.CrossReference
XP_001347910.1,1002382,1002381,1000080,org.intermine.model.bio.CrossReference
XP_001347690.1,1002398,1002397,1000080,org.intermine.model.bio.CrossReference
XP_001347417.1,1002419,1002418,1000080,org.intermine.model.bio.CrossReference
XP_001348861.1,1002424,1002423,1000080,org.intermine.model.bio.CrossReference
XP_001348635.1,1002429,1002428,1000080,org.intermine.model.bio.CrossReference
XP_001348411.1,1002434,1002433,1000080,org.intermine.model.bio.CrossReference
XP_001349713.1,1002442,1002441,1000080,org.intermine.model.bio.CrossReference
XP_001351138.1,1002447,1002445,1000080,org.intermine.model.bio.CrossReference
XP_966282.1,1002452,1002451,1000080,org.intermine.model.bio.CrossReference
XP_001350628.1,1002472,1002471,1000080,org.intermine.model.bio.CrossReference
XP_001351462.1,1002477,1002476,1000080,org.intermine.model.bio.CrossReference
XP_001352223.1,1002481,1002480,1000080,org.intermine.model.bio.CrossReference
XP_001352025.1,1002485,1002484,1000080,org.intermine.model.bio.CrossReference
XP_001351798.1,1002489,1002488,1000080,org.intermine.model.bio.CrossReference
XP_001350746.1,1002505,1002504,1000080,org.intermine.model.bio.CrossReference
XP_001349726.1,1002509,1002508,1000080,org.intermine.model.bio.CrossReference
XP_001349379.1,1002513,1002512,1000080,org.intermine.model.bio.CrossReference
XP_001349127.1,1002517,1002516,1000080,org.intermine.model.bio.CrossReference
XP_001350389.1,1002521,1002520,1000080,org.intermine.model.bio.CrossReference
XP_001350042.1,1002525,1002524,1000080,org.intermine.model.bio.CrossReference
XP_001349794.1,1002529,1002528,1000080,org.intermine.model.bio.CrossReference
XP_001347983.1,1002541,1002540,1000080,org.intermine.model.bio.CrossReference
XP_001347776.1,1002548,1002547,1000080,org.intermine.model.bio.CrossReference
XP_001347500.1,1002553,1002552,1000080,org.intermine.model.bio.CrossReference
XP_001348942.1,1002558,1002557,1000080,org.intermine.model.bio.CrossReference
XP_001348620.1,1002563,1002562,1000080,org.intermine.model.bio.CrossReference
XP_001348427.1,1002568,1002567,1000080,org.intermine.model.bio.CrossReference
XP_001351397.1,1002572,1002571,1000080,org.intermine.model.bio.CrossReference
XP_966118.1,1002577,1002576,1000080,org.intermine.model.bio.CrossReference
XP_001351026.1,1002583,1002581,1000080,org.intermine.model.bio.CrossReference
XP_001352090.1,1002587,1002586,1000080,org.intermine.model.bio.CrossReference
XP_001351891.1,1002591,1002590,1000080,org.intermine.model.bio.CrossReference
XP_001351632.1,1002595,1002594,1000080,org.intermine.model.bio.CrossReference
XP_001350883.1,1002606,1002605,1000080,org.intermine.model.bio.CrossReference
XP_001350691.1,1002622,1002621,1000080,org.intermine.model.bio.CrossReference
XP_001350440.1,1002627,1002626,1000080,org.intermine.model.bio.CrossReference
XP_001349386.1,1002632,1002631,1000080,org.intermine.model.bio.CrossReference
XP_001349143.1,1002636,1002635,1000080,org.intermine.model.bio.CrossReference
XP_001350289.1,1002641,1002640,1000080,org.intermine.model.bio.CrossReference
XP_001350046.1,1002645,1002644,1000080,org.intermine.model.bio.CrossReference
XP_001349851.1,1002649,1002648,1000080,org.intermine.model.bio.CrossReference
XP_001348068.1,1002654,1002653,1000080,org.intermine.model.bio.CrossReference
XP_001347844.1,1002667,1002666,1000080,org.intermine.model.bio.CrossReference
XP_001347607.1,1002672,1002671,1000080,org.intermine.model.bio.CrossReference
XP_001347345.1,1002677,1002676,1000080,org.intermine.model.bio.CrossReference
XP_001348793.1,1002682,1002681,1000080,org.intermine.model.bio.CrossReference
XP_001348533.1,1002694,1002693,1000080,org.intermine.model.bio.CrossReference
XP_001348307.1,1002699,1002698,1000080,org.intermine.model.bio.CrossReference
XP_001351263.1,1002706,1002704,1000080,org.intermine.model.bio.CrossReference
XP_001349616.1,1002710,1002709,1000080,org.intermine.model.bio.CrossReference
XP_966135.1,1002715,1002714,1000080,org.intermine.model.bio.CrossReference
XP_001351499.1,1002719,1002718,1000080,org.intermine.model.bio.CrossReference
XP_001352228.1,1002723,1002722,1000080,org.intermine.model.bio.CrossReference
XP_001351993.1,1002727,1002726,1000080,org.intermine.model.bio.CrossReference
XP_001351791.1,1002731,1002730,1000080,org.intermine.model.bio.CrossReference
XP_001351584.1,1002735,1002734,1000080,org.intermine.model.bio.CrossReference
XP_001350820.1,1002740,1002739,1000080,org.intermine.model.bio.CrossReference
XP_001350540.1,1002745,1002744,1000080,org.intermine.model.bio.CrossReference
XP_001349465.1,1002749,1002748,1000080,org.intermine.model.bio.CrossReference
XP_001348959.1,1002753,1002752,1000080,org.intermine.model.bio.CrossReference
XP_001350176.1,1002757,1002756,1000080,org.intermine.model.bio.CrossReference
XP_001349995.1,1002761,1002760,1000080,org.intermine.model.bio.CrossReference
XP_001348078.1,1002766,1002765,1000080,org.intermine.model.bio.CrossReference
XP_001347811.1,1002771,1002770,1000080,org.intermine.model.bio.CrossReference
XP_001347592.1,1002777,1002776,1000080,org.intermine.model.bio.CrossReference
XP_001347381.1,1002782,1002781,1000080,org.intermine.model.bio.CrossReference
XP_001348698.1,1002791,1002790,1000080,org.intermine.model.bio.CrossReference
XP_001348430.1,1002806,1002805,1000080,org.intermine.model.bio.CrossReference
XP_001348261.1,1002813,1002812,1000080,org.intermine.model.bio.CrossReference
XP_001351283.1,1002818,1002816,1000080,org.intermine.model.bio.CrossReference
XP_966187.1,1002823,1002822,1000080,org.intermine.model.bio.CrossReference
XP_001351035.1,1002829,1002827,1000080,org.intermine.model.bio.CrossReference
XP_001352016.1,1002833,1002832,1000080,org.intermine.model.bio.CrossReference
XP_001351719.1,1002838,1002837,1000080,org.intermine.model.bio.CrossReference
XP_001350603.1,1002843,1002842,1000080,org.intermine.model.bio.CrossReference
XP_001349491.1,1002847,1002846,1000080,org.intermine.model.bio.CrossReference
XP_001349269.1,1002851,1002850,1000080,org.intermine.model.bio.CrossReference
XP_001349115.1,1002856,1002855,1000080,org.intermine.model.bio.CrossReference
XP_001350347.1,1002860,1002859,1000080,org.intermine.model.bio.CrossReference
XP_001350151.1,1002865,1002864,1000080,org.intermine.model.bio.CrossReference
XP_001349812.1,1002869,1002868,1000080,org.intermine.model.bio.CrossReference
XP_001347942.1,1002880,1002879,1000080,org.intermine.model.bio.CrossReference
XP_001347676.1,1002885,1002884,1000080,org.intermine.model.bio.CrossReference
XP_001347374.1,1002890,1002889,1000080,org.intermine.model.bio.CrossReference
XP_001348839.1,1002895,1002894,1000080,org.intermine.model.bio.CrossReference
XP_001348608.1,1002900,1002899,1000080,org.intermine.model.bio.CrossReference
XP_001348400.1,1002905,1002904,1000080,org.intermine.model.bio.CrossReference
XP_001351100.1,1002911,1002908,1000080,org.intermine.model.bio.CrossReference
XP_001349556.1,1002915,1002914,1000080,org.intermine.model.bio.CrossReference
XP_001351273.1,1002920,1002918,1000080,org.intermine.model.bio.CrossReference
XP_966158.1,1002925,1002924,1000080,org.intermine.model.bio.CrossReference
XP_001350948.1,1002930,1002928,1000080,org.intermine.model.bio.CrossReference
XP_001352008.1,1002934,1002933,1000080,org.intermine.model.bio.CrossReference
XP_001351760.1,1002938,1002937,1000080,org.intermine.model.bio.CrossReference
XP_001350790.1,1002949,1002948,1000080,org.intermine.model.bio.CrossReference
XP_001350629.1,1002954,1002953,1000080,org.intermine.model.bio.CrossReference
XP_001350445.1,1002965,1002964,1000080,org.intermine.model.bio.CrossReference
XP_001349446.1,1002969,1002968,1000080,org.intermine.model.bio.CrossReference
